关键字,分类,上级,下级
交通拥堵、住房紧张、环境恶化,城市地理,城市地理,交通拥堵、住房紧张、环境恶化
交通条件对农业的影响,决策型,题目选项,
交通枢纽,其他,交通枢纽,交通枢纽或人口密集区
交通枢纽或人口密集区,其他,其他,交通枢纽或人口密集区
交通线,其他,交通线,区域发展的先行官
交通线路,其他,交通线路,减小坡度、降低工程难度
交通运输,其他,交通运输,铁路或水运
产业,其他,产业,高等院校和科研院所附近
产业升级,决策型,题目选项,从采掘到加工制造是产业升级、从工业到创意产业是产业升级
产业承接区,决策型,题目选项,承接中心城市产业和功能外溢、承接中心城市产业、是卫星城和产业承接区
产业结构优化,决策型,题目选项,
产业结构多元化,决策型,题目选项,从单一煤炭到多种产业是多元化
产业转移,决策型,题目选项,产能转移是产业转移
产业链向上游延伸,决策型,题目选项,建立种植基地是向上游延伸
产业集群式走出去,决策型,题目选项,上下游企业一起出海是集群式走出去
产品,农业地理,产品,靠近城市、交通便利、饲料充足
产地,其他,产地,原料导向型工业
产城融合发展,决策型,题目选项,即产城融合
产城融合新区,决策型,题目选项,是卫星城和产城融合新区
产学研结合,决策型,题目选项,大学科技园是产学研结合、科研机构和企业结合是产学研、企业结合是产学研
产生,其他,产生,远离居民区、位于下风下水地带
人,其他,人,人地协调、可持续发展
人口,人口地理,人口,持续增长
人口多、市场大、交通便利,其他,其他,人口多、市场大、交通便利
人口工业集中、废热多、散热慢,其他,其他,人口工业集中、废热多、散热慢
人口数量,其他,人口数量,资源数量
人口稠密,农业地理,人口稠密,小农经营、单产高、商品率低
人口稠密、工资较低地区,其他,其他,人口稠密、工资较低地区
人口老龄化,人口地理,人口老龄化,劳动力不足、养老压力大
人口迁移,其他,人口迁移,地区间经济发展不平衡
人地协调、可持续发展,其他,其他,人地协调、可持续发展
人才,人文与经济地理,人才、技术与人才,资源、技术、人才合理流动
人文,其他,人文,人地协调、可持续发展
人流,其他,人流,交通便利、人流物流集中
人类,其他,人类,人类不合理活动
人类不合理活动,其他,其他,人类不合理活动
从而,其他,从而,降低生产成本、提高利润
仓储,其他,仓储,提高商品流通效率
代表,其他,代表,意大利东北部和中部
价格,工业地理,价格,
企业,其他,企业,原料导向型工业
休闲农业,决策型,题目选项,观光体验是休闲农业
优先,农业地理,优先,靠近城市、交通便利、饲料充足
优势互补,其他,优势互补,资源、技术、人才合理流动
优化,其他,优化,节能减排、优化布局
优化区域产业布局,决策型,题目选项,产业转移优化了区域布局
优化能源消费结构,决策型,题目选项,推广新能源车可以优化能源消费（用电替代油）
优良,其他,优良,港阔水深、避风、地形平坦
传统,其他,传统,继续扩大传统工业规模
传统文化保护,决策型,题目选项,保护古建筑是文化保护
传统生育观念影响,其他,其他,传统生育观念影响
位于,其他,位于,远离居民区、位于下风下水地带
位置,其他,位置,交通便利、人流物流集中
低,工业地理,低,地价低、运输便利、污染小
低碳城市试点,决策型,题目选项,低碳城市建设内容
低级,其他,低级,租金较低、方便工人上下班
低纬度,其他,低纬度,中低纬度近海平原
住宅,其他,住宅,交通干线附近
住宅区,其他,其他,住宅区
住宿,其他,住宿,交通、餐饮、住宿、购物
住房,城市地理,住房,交通拥堵、住房紧张、环境恶化
体现,其他,体现,生态功能
作物,其他,作物,耐寒、早熟
作用,其他,作用,整体性和差异性
供养,其他,供养,资源数量
供水,其他,供水,供水、运输、防卫功能
供水、运输、防卫功能,其他,其他,供水、运输、防卫功能
依赖,其他,依赖,提高商品流通效率
依靠,其他,依靠,水源
依靠资源优势,决策型,题目选项,文化资源优势
便于,其他,便于,市场导向型工业
便利,城市地理,便利,商业区
促使,其他,促使,推力因素
促进,其他,促进,增加就业、促进工业化
促进产城融合,决策型,题目选项,创客空间是产城融合
促进企业间合作,决策型,题目选项,
促进医疗资源均衡分布,决策型,题目选项,资源外迁促进均衡分布，方便郊区居民，减轻中心城区医院压力。、资源外迁促进均衡分布
促进城乡融合,决策型,题目选项,
促进城乡要素流动,决策型,题目选项,人才、资本下乡促进了城乡要素流动，带动农村产业升级。这是乡村发展，不是城镇化。、资本下乡促进了城乡要素流动
促进社会融合,决策型,题目选项,
保护,其他,保护,保护生态、防治滑坡泥石流
保护生态、防治滑坡泥石流,其他,其他,保护生态、防治滑坡泥石流
保护生态环境,决策型,题目选项,生态红线保护环境
保证产品质量,决策型,题目选项,保证质量
保证原料品质,决策型,题目选项,
保障农产品质量安全,决策型,题目选项,可追溯体系保障了质量安全
保障粮食安全,决策型,题目选项,基本农田红线保障粮食安全
保鲜,其他,保鲜,扩大农产品销售范围
信息,其他,信息,降低生产成本、提高利润
信息技术,其他,信息技术,提高商品流通效率
信息网络,区域发展,信息网络,社会经济因素
倾向,其他,倾向,交通干线附近
充分利用闲散土地,决策型,题目选项,庭院经济利用闲散地
充足,农业地理,充足,靠近城市、交通便利、饲料充足
先行官,其他,先行官,区域发展的先行官
全域旅游理念,决策型,题目选项,统一品牌推广是全城旅游的理念
公共服务提升,决策型,题目选项,养老托幼是公共服务
公路运输,其他,公路运输,短途、小批量、鲜活货物
共享经济,决策型,题目选项,共享单车汽车是共享经济
共用,其他,共用,降低生产成本、提高利润
关系,其他,关系,人地协调、可持续发展
具备,其他,具备,港阔水深、避风、地形平坦
具有,其他,具有,增大
典型,农业地理,典型,美国中央大平原
养殖,农业地理,养殖,
养老,人口地理,养老,劳动力不足、养老压力大
内涝,其他,内涝,城市内涝
内部,其他,内部,住宅区
农业,农业地理,农业,小农经营、单产高、商品率低
农业专业化生产,决策型,题目选项,基地生产是专业化
农业区,其他,农业区,市场
农业区位选择靠近市场,决策型,题目选项,
农业商品化,决策型,题目选项,
农业技术扩散,决策型,题目选项,示范推广是技术扩散
农业现代化,决策型,题目选项,无土栽培是农业现代化
农业节水,决策型,题目选项,节水灌溉是农业节水
农业观光旅游,决策型,题目选项,节庆是农业观光
农产品,其他,农产品,品质、安全、多样化
农村,其他,农村,提供充足廉价劳动力
冬季,其他,冬季,园艺业、水果种植
决定,其他,决定,市场
冷藏,其他,冷藏,扩大农产品销售范围
净化,其他,净化,生态功能
减去,人口地理,减去,持续增长
减小,其他,减小,减小坡度、降低工程难度
减小坡度、降低工程难度,其他,其他,减小坡度、降低工程难度
减少,工业地理,减少,地价低、运输便利、污染小
减少对城区交通干扰,其他,其他,减少对城区交通干扰
减少尾气排放,决策型,题目选项,
减少居民出行距离,决策型,题目选项,功能复合布局可以减少跨区域长距离出行、居民就近满足需求减少出行距离
减少居民出行需求,决策型,题目选项,减少了长距离出行需求
减少碳排放,决策型,题目选项,
减少运输时间,决策型,题目选项,就近设厂减少运输时间
减少通勤距离,决策型,题目选项,减少通勤
减排,其他,减排,节能减排、优化布局
减量化,人文与经济地理,减量化、资源化、无害化,清洁生产
减量化、资源化、无害化,决策型,题目选项,减量化、资源化、无害化
出现,人口地理,出现,持续增长
出生率,人口地理,出生率,持续增长
出行,其他,出行,生态可持续
分区,其他,分区,住宅区
分布,城市地理,分布,城市外缘、上风上水地带
分布区,农业地理,分布区,美国中央大平原
分布式能源发展,决策型,题目选项,发展清洁能源是能源结构转型；屋顶光伏是分布式能源。不是引入高耗能产业。、发展清洁能源是能源结构转型、屋顶光伏是分布式能源
分散,其他,分散,意大利东北部和中部
分类,其他,分类,生态可持续
创意农业,决策型,题目选项,景观设计是创意农业
创新型城市,决策型,题目选项,创新型城市特征
创新驱动发展,决策型,题目选项,生物医药是创新驱动产业
利于,其他,利于,利于可持续发展
利于可持续发展,其他,其他,利于可持续发展
利润,其他,利润,降低生产成本、提高利润
利用,其他,利用,清洁生产
利用工业遗产,决策型,题目选项,矿山公园是利用工业遗产
利用廉价海运,决策型,题目选项,海运廉价
利用当地资源,决策型,题目选项,利用当地资源是资源因素
利用荒地资源,决策型,题目选项,利用荒漠是资源利用；种植植物是生态治理。不是增加耕地。、利用荒漠是资源利用
制造,工业地理,制造,
功能,其他,功能,住宅区
功能分区,决策型,题目选项,新区以现代产业为主是功能分区、不同区域不同功能是功能分区
功能区,城市地理,功能区,商业区
加工,其他,加工,人口稠密、工资较低地区
加强,其他,加强,降低生产成本、提高利润
动力,其他,动力,地区间经济发展不平衡
动力导向型工业,其他,其他,动力导向型工业
劳动,人口地理,劳动,
劳动力,其他,劳动力,劳动力导向型工业
劳动力不足、养老压力大,人口地理,人口地理,劳动力不足、养老压力大
劳动力导向型工业,其他,其他,劳动力导向型工业
劳动力短缺、土地撂荒,其他,其他,劳动力短缺、土地撂荒
劳动密集型,其他,劳动密集型,劳动密集型或资源密集型产业
劳动密集型或资源密集型产业,其他,其他,劳动密集型或资源密集型产业
包括,其他,包括,继续扩大传统工业规模
化为,其他,化为,清洁生产
北,地理基础,北,
区位,其他,区位,寻找最优区位、降低成本
区域,其他,区域,区域发展的先行官
区域中心城市,决策型,题目选项,国际会展是区域中心
区域发展的先行官,其他,其他,区域发展的先行官
区域可达性提高,决策型,题目选项,交通改善提高了可达性
区域合作,其他,区域合作,资源、技术、人才合理流动
区域生态环境的关联性,决策型,题目选项,上游治理下游受益，体现了生态环境的关联性和流域综合治理的成效。不是产业转移。、体现了生态环境的关联性和流域综合治理的成效、体现了生态环境的关联性
半干旱,其他,半干旱,生产规模大、专业化程度高
协调,其他,协调,利于可持续发展
单一,其他,单一,继续扩大传统工业规模
单产,农业地理,单产,小农经营、单产高、商品率低
南,地理基础,南,
占地面积,其他,占地面积,住宅区
卫星城,决策型,题目选项,是卫星城、是卫星城和产业承接区
历史文化保护相结合,人文与经济地理,城市更新与历史文化保护相结合,
压力,人口地理,压力,劳动力不足、养老压力大
原则,其他,原则,人口多、市场大、交通便利
原因,其他,原因,继续扩大传统工业规模
原居安老理念,决策型,题目选项,支持老人在家养老（原居安老）
原料,其他,原料,原料导向型工业
原料导向型工业,其他,其他,原料导向型工业
发展,其他,其他,发展
发展中国家,其他,发展中国家,虚假城市化或滞后城市化
发展新兴产业和第三产业,其他,其他,发展新兴产业和第三产业
发展替代产业,决策型,题目选项,引进新材料新能源是发展替代产业
发展特色产业,决策型,题目选项,旅游和民宿是特色产业、民宿是特色产业
发生变化,其他,发生变化,品质、安全、多样化
发达,其他,发达,劳动密集型或资源密集型产业
取决于,其他,取决于,资源数量
变化,人口地理,变化,持续增长
变质,农业地理,变质,靠近城市、交通便利、饲料充足
可,其他,可,利于可持续发展
可以,其他,可以,短途、小批量、鲜活货物
可持续发展,决策型,题目选项,可持续发展的要求
可能,人口地理,可能,持续增长
合理,其他,合理,利于可持续发展
合理布局,其他,合理布局,远离居民区、位于下风下水地带
合理流动,其他,合理流动,资源、技术、人才合理流动
同期,农业地理,同期,小农经营、单产高、商品率低
后来,其他,后来,港口和市场
呈酸性,其他,呈酸性,气候湿润、土壤呈酸性、地形有坡度
周期短,其他,周期短,商品率高、生产周期短
周转,其他,周转,短途、小批量、鲜活货物
和,其他,和,高等院校和科研院所附近
品牌效应,区域发展,品牌效应,社会经济因素
品质,其他,品质,品质、安全、多样化
品质、安全、多样化,其他,其他,品质、安全、多样化
商业,其他,商业,人口多、市场大、交通便利
商业中心,其他,商业中心,交通枢纽或人口密集区
商业区,城市地理,城市地理,商业区
商务区,其他,商务区,高楼林立、经济活动繁忙
商品,农业地理,商品,美国中央大平原
商品流通,其他,商品流通,提高商品流通效率
商品率,其他,商品率,热带地区
商品率高、生产周期短,其他,其他,商品率高、生产周期短
商品粮,其他,商品粮,东北平原
回流,其他,回流,城市环境恶化、乡村设施完善
因为,其他,因为,人口多、市场大、交通便利
因地制宜,决策型,因地制宜、题目选项,因地制宜、可持续利用
因地制宜、可持续利用,其他,其他,因地制宜、可持续利用
因此,其他,因此,交通枢纽或人口密集区
因素,工业地理,因素,地价低、运输便利、污染小
园艺业,其他,园艺业,园艺业、水果种植
园艺业、水果种植,其他,其他,园艺业、水果种植
困难,其他,困难,发展新兴产业和第三产业
国道,其他,国道,减少对城区交通干扰
国际化经营,决策型,题目选项,国际建厂是国际化
土地,其他,土地,人类不合理活动
土壤,其他,土壤,东北平原
地,其他,地,人地协调、可持续发展
地中海,其他,地中海,园艺业、水果种植
地价,区域发展,地价,社会经济因素
地价低、运输便利、污染小,工业地理,工业地理,地价低、运输便利、污染小
地区,其他,地区,生产规模大、专业化程度高
地区间经济发展不平衡,其他,其他,地区间经济发展不平衡
地域,其他,地域,更加紧密
地域类型,其他,地域类型,整体性和差异性
地带,其他,地带,热量相对充足、水源便利
地广人稀,农业地理,地广人稀,美国中央大平原
地形,其他,地形,港阔水深、避风、地形平坦
地形、交通、人口,其他,其他,地形、交通、人口
地形、气候、水源,其他,其他,地形、气候、水源
地形、耕地、水源,其他,其他,地形、耕地、水源
地理,其他,地理,人地协调、可持续发展
地理位置特殊,决策型,题目选项,边境区位是地理位置优势
地理环境,其他,地理环境,整体性和差异性
地租,城市地理,地租,商业区
地租较高,其他,其他,地租较高
地表,其他,地表,城市内涝
坡度,其他,坡度,气候湿润、土壤呈酸性、地形有坡度
垃圾,其他,垃圾,生态可持续
型,其他,型,原料导向型工业
城中村,其他,城中村,规划改造、完善基础设施
城区,其他,城区,减少对城区交通干扰
城市,城市地理,城市,商业区
城市人口和用地规模扩大,其他,其他,城市人口和用地规模扩大
城市内涝,其他,其他,城市内涝
城市功能疏解,决策型,题目选项,承接老城区功能疏解
城市化,城市地理,城市化,交通拥堵、住房紧张、环境恶化
城市外缘、上风上水地带,城市地理,城市地理,城市外缘、上风上水地带
城市多中心化发展趋势,决策型,题目选项,新的就业中心形成是城市多中心化、近郊发展是郊区城市化（不是逆城市化
城市更新,决策型,城市更新与历史文化保护相结合、题目选项,旧厂房改造是城市更新
城市更新与历史文化保护相结合,决策型,题目选项,城市更新、历史文化保护相结合、保留历史街区改造为文创园是保护与更新结合、更新结合
城市更新关注民生需求,决策型,题目选项,
城市核心,其他,城市核心,高楼林立、经济活动繁忙
城市气候调节,决策型,题目选项,调节气候和扩散污染物、调节气候
城市热岛,其他,城市热岛,人口工业集中、废热多、散热慢
城市热岛效应缓解,决策型,题目选项,绿化和透水是生态和低碳城市建设内容，也能缓解热岛效应。、也能缓解热岛效应
城市环境恶化、乡村设施完善,其他,其他,城市环境恶化、乡村设施完善
城市绿地,其他,城市绿地,生态功能
城市规划,其他,城市规划,实现城市有序、高效、宜居发展
城市边缘,其他,城市边缘,减少对城区交通干扰
城市道路,其他,城市道路,方格放射式或环形放射式
城郊,其他,城郊,商品率高、生产周期短
城镇,城市地理,城镇,交通拥堵、住房紧张、环境恶化
城镇化,其他,城镇化,符合区域发展规律
基地,其他,基地,东北平原
基本,其他,基本,因地制宜、可持续利用
基础设施,其他,基础设施,降低生产成本、提高利润
基础设施完善,决策型,题目选项,电梯是基础设施
境外经贸合作区,决策型,题目选项,海外工业园区是境外合作区
增加,其他,增加,城市内涝
增加农民收入,决策型,题目选项,农民参与增加收入、农民参、增加收入
增加农民收入来源,决策型,题目选项,增加收入
增加就业、促进工业化,其他,其他,增加就业、促进工业化
增加绿地和水域、节能减排,其他,其他,增加绿地和水域、节能减排
增大,其他,其他,增大
增强市场竞争力,决策型,题目选项,提升竞争力
增长率,人口地理,增长率,持续增长
复杂,其他,复杂,寻找最优区位、降低成本
夏季,其他,夏季,园艺业、水果种植
外围,工业地理,外围,地价低、运输便利、污染小
外缘,城市地理,外缘,城市外缘、上风上水地带
多,其他,多,人口多、市场大、交通便利
多样化,其他,多样化,品质、安全、多样化
多样性,其他,多样性,人类不合理活动
大,人口地理,大,劳动力不足、养老压力大
大力发展,其他,大力发展,交通、餐饮、住宿、购物
大宗,其他,大宗,铁路或水运
大小,其他,大小,资源数量
大气环境保护,决策型,题目选项,
大牧场,其他,大牧场,生产规模大、专业化程度高
大量,其他,大量,劳动力导向型工业
失衡,其他,失衡,传统生育观念影响
婚姻,其他,婚姻,传统生育观念影响
存在,其他,存在,规划改造、完善基础设施
季风,农业地理,季风,小农经营、单产高、商品率低
季风气候,其他,其他,季风气候
安全,其他,安全,品质、安全、多样化
完善,其他,完善,城市环境恶化、乡村设施完善
完善农村流通体系,决策型,题目选项,物流站完善流通
完善社会保障体系,决策型,题目选项,建设养老设施是完善社会保障
宜居,其他,宜居,实现城市有序、高效、宜居发展
宜居城市建设理念,决策型,题目选项,绿地体现了宜居理念
实体,其他,实体,交通便利、物流高效
实现,其他,实现,短途、小批量、鲜活货物
实现城市有序、高效、宜居发展,其他,其他,实现城市有序、高效、宜居发展
实现规模化经营,决策型,题目选项,家庭农场促进规模化经营、合作社统一经营是规模化
实现规模经营,决策型,题目选项,合作社统一经营实现规模效应
容易,城市地理,容易,交通拥堵、住房紧张、环境恶化
容量,其他,容量,利于可持续发展
密度,其他,密度,地形、交通、人口
密集,城市地理,密集,商业区
密集区,其他,密集区,交通枢纽或人口密集区
密集型,其他,密集型,劳动密集型或资源密集型产业
对,其他,对,减少对城区交通干扰
寻找,其他,寻找,寻找最优区位、降低成本
寻找最优区位、降低成本,其他,其他,寻找最优区位、降低成本
导向,其他,导向,原料导向型工业
导致,其他,导致,城市人口和用地规模扩大
小,工业地理,小,地价低、运输便利、污染小
小于,其他,小于,利于可持续发展
小农,农业地理,小农,小农经营、单产高、商品率低
小农经营、单产高、商品率低,农业地理,农业地理,小农经营、单产高、商品率低
小城镇,其他,小城镇,城市环境恶化、乡村设施完善
小批量,其他,小批量,短途、小批量、鲜活货物
小麦,农业地理,小麦,美国中央大平原
就业,其他,就业,发展新兴产业和第三产业
就业机会,其他,就业机会,拉力因素
居民区,其他,居民区,远离居民区、位于下风下水地带
居民参,人文与经济地理,居民参与,
居民参与,决策型,题目选项,居民参、积分兑换鼓励居民参与、积分兑换鼓励居民参
属于,其他,属于,原料导向型工业
山区,其他,山区,减小坡度、降低工程难度
工业,其他,工业,市场导向型工业
工业4.0,决策型,题目选项,工业4.0的特征
工业分散,其他,工业分散,寻找最优区位、降低成本
工业化,其他,工业化,城市人口和用地规模扩大
工业区,工业地理,工业区,地价低、运输便利、污染小
工业区位,其他,工业区位,原料导向型工业
工业布局,其他,工业布局,高耗水工业
工业生产,其他,工业生产,清洁生产
工业遗产保护,决策型,题目选项,保留厂房做博物馆是工业遗产保护
工业遗产活化利用,决策型,题目选项,旧厂房改造是工业遗产活化
工业集聚,其他,工业集聚,降低生产成本、提高利润
工业集聚效应,决策型,题目选项,
工人,其他,工人,租金较低、方便工人上下班
工程,其他,工程,减小坡度、降低工程难度
工资,其他,工资,劳动力导向型工业
差异性,其他,差异性,整体性和差异性
市中心,其他,市中心,人口多、市场大、交通便利
市场,其他,其他,市场
市场下沉,决策型,题目选项,瞄准农村市场是市场下沉
市场化运作,决策型,题目选项,专业公司是市场化
市场导向,其他,市场导向,市场导向型工业
市场导向型工业,其他,其他,市场导向型工业
市场广阔,决策型,题目选项,
市场潜力,决策型,题目选项,上海是市场潜力
布局,城市地理,布局,商业区
带动,其他,带动,区域发展的先行官
带动农村产业升级,决策型,题目选项,
带来,人口地理,带来,劳动力不足、养老压力大
常见,其他,常见,方格放射式或环形放射式
干扰,其他,干扰,减少对城区交通干扰
干旱,其他,干旱,生产规模大、专业化程度高
干燥,其他,干燥,园艺业、水果种植
干线,工业地理,干线,地价低、运输便利、污染小
平原,其他,平原,地形、交通、人口
平坦,其他,平坦,港阔水深、避风、地形平坦
平衡,其他,平衡,地区间经济发展不平衡
广泛,其他,广泛,气候湿润、土壤呈酸性、地形有坡度
广阔,其他,广阔,生产规模大、专业化程度高
废气,其他,废气,远离居民区、位于下风下水地带
废水,其他,废水,远离居民区、位于下风下水地带
废渣,其他,废渣,远离居民区、位于下风下水地带
废热,其他,废热,人口工业集中、废热多、散热慢
度提高,其他,度提高,交通干线附近
廉价,其他,廉价,劳动力导向型工业
延长农业产业链,决策型,题目选项,从水果到加工品是延长产业链
建筑,其他,建筑,规划改造、完善基础设施
建设,其他,建设,港阔水深、避风、地形平坦
建设老年友好型城市,决策型,题目选项,建设养老设施是完善社会保障，也是建设老年友好城市。延迟退休是政策，未提及。、也是建设老年友好城市
开发区,其他,开发区,新工业区
开拓国际市场,决策型,题目选项,销往周边是开拓市场
式,其他,式,方格放射式或环形放射式
引发,城市地理,引发,交通拥堵、住房紧张、环境恶化
强调,其他,强调,交通便利、物流高效
当地,其他,当地,气候湿润、土壤呈酸性、地形有坡度
形态,其他,形态,方格放射式或环形放射式
形成,其他,形成,交通枢纽或人口密集区
影响,其他,影响,扩大农产品销售范围
往往,其他,往往,地租较高
径流,其他,径流,城市内涝
循环,其他,循环,清洁生产
循环经济理念,决策型,题目选项,资源化是循环经济
必须,其他,必须,水源
快,其他,快,更快
快速,其他,快速,交通便利、物流高效
急需,其他,急需,贵重、急需、轻型物品
性别比,其他,性别比,传统生育观念影响
总量,人口地理,总量,持续增长
恶化,其他,恶化,推力因素
意义,其他,意义,利于可持续发展
意大利,其他,意大利,意大利东北部和中部
意大利东北部和中部,其他,其他,意大利东北部和中部
慢,其他,慢,人口工业集中、废热多、散热慢
慢行交通,决策型,题目选项,自行车道和步行是慢行交通、步行是慢行交通
成本,其他,成本,降低生产成本、提高利润
我国,其他,我国,气候湿润、土壤呈酸性、地形有坡度
或,其他,或,铁路或水运
战争,其他,战争,推力因素
扩大,城市地理,扩大,交通拥堵、住房紧张、环境恶化
扩大农产品销售范围,其他,其他,扩大农产品销售范围
承接,其他,承接,增加就业、促进工业化
承接中心城市产业外溢,决策型,题目选项,依托大城市资源发展高端产业是承接外溢
承载力,其他,承载力,资源数量
技术,人文与经济地理,技术、技术与人才,扩大农产品销售范围
技术与人才,决策型,题目选项,技术、人才、硅谷和班加罗尔是技术与人才、人才
技术升级,决策型,题目选项,自动化是技术升级、获取技术是技术升级
拉力,其他,拉力,拉力因素
拉力因素,其他,其他,拉力因素
拓展销售渠道,决策型,题目选项,专卖店拓展渠道
持续,其他,持续,资源数量
持续增长,人口地理,人口地理,持续增长
挤压,其他,挤压,传统生育观念影响
接近原料地,决策型,题目选项,接近原料
接近消费市场,决策型,题目选项,
控制城市无序扩张,决策型,题目选项,
控制城市蔓延,决策型,题目选项,也有利于控制城市连片发展
推力,其他,推力,推力因素
推力因素,其他,其他,推力因素
措施,其他,措施,规划改造、完善基础设施
提供,其他,提供,提供充足廉价劳动力
提供休闲空间,决策型,题目选项,休闲空间
提供充足廉价劳动力,其他,其他,提供充足廉价劳动力
提升产品知名度,决策型,题目选项,认证和统一包装提升知名度、统一包装提升知名度
提升公共交通吸引力,决策型,题目选项,提升公交服务是为了吸引更多人使用公交
提升农产品品质,决策型,题目选项,优良品种和标准化提升品质、标准化提升品质
提升品牌价值,决策型,题目选项,地理标志和统一标准提升品牌、统一标准提升品牌
提升城市生态功能,决策型,题目选项,绿道增加生态功能
提高,其他,提高,品质、安全、多样化
提高农业产业化水平,决策型,题目选项,产业链整合提高了产业化水平
提高农产品标准化水平,决策型,题目选项,检测中心提高标准化
提高农产品附加值,决策型,题目选项,提高附加值
提高商品流通效率,其他,其他,提高商品流通效率
提高土地利用效率,决策型,题目选项,功能混合提高土地利用效率、功能混合布局提高土地利用效率
提高土地利用率,决策型,题目选项,一地两用提高了土地利用率
提高居民生活便利度,决策型,题目选项,就近服务提高了便利度
提高库存周转率,决策型,题目选项,大数据预测提高库存周转率
撂荒,其他,撂荒,劳动力短缺、土地撂荒
收入,其他,收入,拉力因素
收益,工业地理,收益,
改善,其他,改善,扩大农产品销售范围
改善生态环境,决策型,题目选项,
改善空气质量,决策型,题目选项,改善空气
改造,其他,改造,规划改造、完善基础设施
放射,其他,放射,方格放射式或环形放射式
政策,区域发展,政策,社会经济因素
政策支持,决策型,题目选项,自贸区政策是政策支持、跨境经济合作区是政策支持
效应,其他,效应,人口工业集中、废热多、散热慢
效率,其他,效率,方格放射式或环形放射式
散热,其他,散热,人口工业集中、废热多、散热慢
数量,其他,数量,资源数量
整体,其他,整体,交通干线附近
整体性,其他,整体性,整体性和差异性
整体性保护,决策型,题目选项,保护建筑和生活方式是整体性、保护建筑、生活方式是整体性、活态保护
整体性和差异性,其他,其他,整体性和差异性
整治,其他,整治,继续扩大传统工业规模
文化传承,决策型,题目选项,保留风貌是有机更新和文化传承
文化创意产业集聚,决策型,题目选项,艺术家和画廊入驻是文创产业集聚、画廊入驻是文创产业集聚
文化遗产保护,决策型,题目选项,保护和恢复是文化遗产保护、保护、恢复是文化遗产保护
新,其他,新,新工业区
新兴,其他,新兴,意大利东北部和中部
新兴产业,其他,新兴产业,发展新兴产业和第三产业
新工业区,其他,其他,新工业区
新旧分制,决策型,题目选项,发展新区是“新旧分制”
方便,其他,方便,租金较低、方便工人上下班
方便居民就近就医,决策型,题目选项,方便郊区居民
方向,其他,方向,继续扩大传统工业规模
方式,其他,方式,铁路或水运
方格,其他,方格,方格放射式或环形放射式
方格放射式或环形放射式,其他,其他,方格放射式或环形放射式
旅游,其他,旅游,交通、餐饮、住宿、购物
旅游业,其他,旅游业,交通、餐饮、住宿、购物
旅游信息化,决策型,题目选项,智慧导览是信息化
旅游基础设施完善,决策型,题目选项,集散中心是基础设施
旅游服务智能化,决策型,题目选项,智慧平台和导览是智能化服务、导览是智能化服务
旅游资源整合,决策型,题目选项,整合线路是资源整合
无害化,人文与经济地理,减量化、资源化、无害化,
早期,其他,早期,港口和市场
早熟,其他,早熟,耐寒、早熟
智慧城市应用,决策型,题目选项,智慧系统是智慧城市应用
智能制造,决策型,题目选项,智能工厂、工业互联网是智能制造
智能化管理,决策型,题目选项,智能回收箱是智能化
