关键字,分类,上级,下级
海岸,地理位置,,海岸侵蚀动力、海浪
海岸地貌,地貌类型,海岸,
海浪,海洋动力,,
潮汐,海洋动力,,
海洋,水体,,
动力,力量,,
陆地,地理单元,,
边缘,地理位置,,
海蚀崖,地貌单元,,
海滩,地貌单元,,
形态,概念,,
侵蚀,地质作用,,
海岸侵蚀动力,动力类型,海岸,海浪
海浪,海浪型,海岸侵蚀动力,
河流,河流型,水文要素,
水文要素,地理要素,,
断层,地质构造,,断层作用力、构造力
地壳,地球结构,,
岩层,地质结构,,
构造,地质概念,,
应力,力量,,
破裂,过程,,
破裂面,构造面,,
明显,修饰词,,
位移,过程,,
陡峭,形态特征,,
断层崖,地貌单元,,
断层作用力,作用力类型,断层,构造力
构造力,构造力型,断层作用力,
重力,重力型,自然力类型,
风力,风力型,自然力类型,
自然力类型,力量类型,,
热带雨林气候,气候类型,,热带雨林降水特点、丰富
全年,时间词,,
高温,温度特征,,
多雨,降水特征,,
充沛,修饰词,,
分布,动词,,
均匀,修饰词,,
干湿季,季节类型,,
亚马孙平原,地理区域,,
刚果盆地,地理区域,,
年降水量,降水指标,,
特点,概念,,
热带雨林降水特点,降水特征,热带雨林气候,丰富
丰富,丰富型,热带雨林降水特点,
稀少,稀少型,干旱气候降水特点,
季节性,季节性型,季风气候降水特点,
干旱气候降水特点,降水特征,,
季风气候降水特点,降水特征,,

地中海气候,气候类型,,地中海夏季降水特点、干燥
显著,修饰词,,
特征,概念,,
夏季,季节,,
炎热,温度特征,,
干燥,降水特征,,
冬季,季节,,
温和,温度特征,,
多雨,降水特征,,
南北纬,纬度概念,,
大陆,地理单元,,
西岸,地理位置,,
降水,气象要素,,
地中海夏季降水特点,降水特征,地中海气候,干燥
干燥,干燥型,地中海夏季降水特点,
多雨,多雨型,地中海冬季降水特点,
适中,适中型,温带海洋性降水特点,
地中海冬季降水特点,降水特征,,
温带海洋性降水特点,降水特征,,
温带季风气候,气候类型,,温带季风冬季气温特点、寒冷
高温,温度特征,,
四季,季节概念,,
分明,修饰词,,
集中,修饰词,,
华北地区,地理区域,,
典型,修饰词,,
代表,概念,,
气温,气象要素,,
温带季风冬季气温特点,气温特征,温带季风气候,寒冷
寒冷,寒冷型,温带季风冬季气温特点,
温暖,温暖型,温带海洋性气温特点,
炎热,炎热型,热带气温特点,
温带海洋性气温特点,气温特征,,
热带气温特点,气温特征,,
温带大陆性气候,气候类型,,温带大陆性降水特点、稀少
内部,地理位置,,
远离,空间关系,,
海洋,水体,,
海洋性,气候属性,,
气团,气象概念,,
难以,修饰词,,
到达,动词,,
年较差,温度指标,,
日较差,温度指标,,
温带大陆性降水特点,降水特征,温带大陆性气候,稀少
稀少,稀少型,温带大陆性降水特点,
丰富,丰富型,热带雨林降水特点,
均匀,均匀型,温带海洋性降水分布特点,
热带雨林降水特点,降水特征,,
温带海洋性降水分布特点,降水特征,,
极地气候,气候类型,,极地气温特点、严寒
南北极,地理区域,,
全年,时间词,,
严寒,温度特征,,
最暖月,时间概念,,
平均,修饰词,,
以下,介词,,
极少,修饰词,,
冰雪,自然要素,,
覆盖,动词,,
植被,自然要素,,
极地气温特点,气温特征,极地气候,严寒
严寒,严寒型,极地气温特点,
温和,温和型,温带气温特点,
炎热,炎热型,热带气温特点2,
温带气温特点,气温特征,,
热带气温特点2,气温特征,,
热带草原气候,气候类型,,热带草原季节特征、干湿季
热带雨林,气候类型,,
南北,方位词,,
两侧,地理位置,,
明显,修饰词,,
交替,特征词,,
现象,概念,,
湿季,季节类型,,
干季,季节类型,,
热带草原季节特征,季节特征,热带草原气候,干湿季
干湿季,干湿季型,热带草原季节特征,
四季如春,四季如春型,热带高山季节特征,
冬夏两季,冬夏两季型,热带季风季节特征,
热带高山季节特征,季节特征,,
热带季风季节特征,季节特征,,

高山气候,气候类型,,高山气候影响因素、海拔
分布,动词,,
高海拔,地理位置,,
山地,地形类型,,
随着,介词,,
升高,动词,,
气温,气象要素,,
降低,动词,,
降水,气象要素,,
先,时间词,,
增,动词,,
后,时间词,,
减,动词,,
气候,自然要素,,
垂直分异,分布规律,,
明显,修饰词,,
植被,自然要素,,
呈现,动词,,
垂直带谱,分布特征,,
主要,修饰词,,
影响,动词,,
因素,概念,,
高山气候影响因素,影响因素,高山气候,海拔
海拔,海拔型,高山气候影响因素,
纬度,纬度型,气候带影响因素,
洋流,洋流型,沿海气候影响因素,
气候带影响因素,影响因素,,
沿海气候影响因素,影响因素,,
亚热带季风气候,气候类型,,亚热带季风水热配合特点、雨热同期
秦岭,地理单元,,
淮河,地理单元,,
以南,方位词,,
地区,地理单元,,
夏季,季节,,
高温,温度特征,,
多雨,降水特征,,
冬季,季节,,
温和,温度特征,,
少雨,降水特征,,
年降水量,降水指标,,
丰富,修饰词,,
雨热,气候要素,,
同期,时间特征,,
有利于,关系词,,
农业生产,产业活动,,
水热,气候要素,,
配合,关系,,
特点,概念,,
亚热带季风水热配合特点,水热配合特征,亚热带季风气候,雨热同期
雨热同期,雨热同期型,亚热带季风水热配合特点,
雨热不同期,雨热不同期型,地中海气候水热配合特点,
全年少雨,全年少雨型,沙漠气候降水特点,
地中海气候水热配合特点,水热配合特征,,
沙漠气候降水特点,降水特征,,
外流河,河流类型,,外流河归宿、海洋
最终,修饰词,,
流入,动词,,
河流,水文系统,,
东部,地理位置,,
多,修饰词,,
属,动词,,
水量,水文指标,,
水系,水文系统,,
发达,修饰词,,
具有,动词,,
重要,修饰词,,
航运,交通功能,,
灌溉,农业功能,,
价值,概念,,
归宿,概念,,
外流河归宿,归宿类型,外流河,海洋
海洋,海洋型,外流河归宿,
湖泊,湖泊型,内流河归宿,
沙漠,沙漠型,内流河归宿,
内流河归宿,归宿类型,,
内流河,河流类型,,内流河分布区降水特点、稀少
消失,动词,,
内陆,地理位置,,
干旱,气候特征,,
半干旱,气候特征,,
较少,修饰词,,
季节性,时间特征,,
内流河分布区降水特点,降水特征,内流河,稀少
稀少,稀少型,内流河分布区降水特点,
丰富,丰富型,外流河降水特点,
均匀,均匀型,降水分布特点,
外流河降水特点,降水特征,,
降水分布特点,降水特征,,
汛期,水文现象,,河流汛期主要因素、降水
水位,水文指标,,
上涨,动词,,
时期,时间概念,,
季风区,气候区域,,
集中,修饰词,,
夏秋,季节,,
季节,时间概念,,
与,介词,,
季节分配,分布特征,,
密切,修饰词,,
相关,关系,,
决定,动词,,
河流汛期主要因素,影响因素,汛期,降水
降水,降水型,河流汛期主要因素,
蒸发,蒸发型,水量减少因素,
地形,地形型,地貌影响因素,
水量减少因素,影响因素,,
地貌影响因素,影响因素,,

冰川补给,补给方式,,冰川补给影响因素、气温
冰川,水体类型,,
融水,水源类型,,
补给,水文过程,,
河流,水文系统,,
方式,概念,,
主要,修饰词,,
高山,地形类型,,
高纬度,地理位置,,
时间,概念,,
集中,修饰词,,
气温,气象要素,,
较高,修饰词,,
夏季,季节,,
影响,动词,,
因素,概念,,
冰川补给影响因素,影响因素,冰川补给,气温
气温,气温型,冰川补给影响因素,
降水,降水型,降水补给影响因素,
植被,植被型,植被覆盖影响因素,
降水补给影响因素,影响因素,,
植被覆盖影响因素,影响因素,,
湖泊,水体类型,,湖泊类型、构造湖
成因,原因概念,,
构造湖,湖泊成因类型,,
火山口湖,湖泊成因类型,,
堰塞湖,湖泊成因类型,,
类型,概念,,
地壳运动,地质作用,,
凹陷,地质过程,,
积水,过程,,
形成,动词,,
湖泊类型,湖泊分类,湖泊,构造湖
构造湖,构造湖型,湖泊类型,
火山喷发,火山喷发型,火山作用,
河流堆积,河流堆积型,河流作用,
火山作用,地质作用,,
河流作用,地质作用,,
地下水,水体类型,,地下水赋存空间、岩石空隙
埋藏,状态,,
地表,地理单元,,
以下,方位词,,
岩石,地质物质,,
空隙,空间概念,,
水体,水资源,,
埋藏条件,条件类型,,
潜水,地下水类型,,
承压水,地下水类型,,
重要,修饰词,,
淡水,水资源类型,,
资源,概念,,
赋存,动词,,
空间,概念,,
地下水赋存空间,空间类型,地下水,岩石空隙
岩石空隙,岩石空隙型,地下水赋存空间,
地表水体,地表水体型,地表水空间,
大气层,大气层型,大气水空间,
地表水空间,空间类型,,
大气水空间,空间类型,,
含沙量,水文指标,,河流含沙量影响因素、土壤侵蚀
单位,概念,,
体积,概念,,
泥沙,沉积物,,
数量,概念,,
黄河,河流名称,,
世界,地理范围,,
最大,修饰词,,
流经,动词,,
黄土高原,地貌单元,,
有关,关系,,
河流含沙量影响因素,影响因素,含沙量,土壤侵蚀
土壤侵蚀,土壤侵蚀型,河流含沙量影响因素,
降水量,降水量型,降水影响因素,
气温,气温型,气温影响因素,
降水影响因素,影响因素,,
气温影响因素,影响因素,,
径流量,水文指标,,河流径流量首要因素、降水量
一定,修饰词,,
时期,时间概念,,
通过,动词,,
断面,概念,,
水量,水文指标,,
蒸发,水文过程,,
下渗,水文过程,,
多种,修饰词,,
衡量,动词,,
水资源,资源类型,,
指标,概念,,
决定,动词,,
首要,修饰词,,
河流径流量首要因素,影响因素,径流量,降水量
降水量,降水量型,河流径流量首要因素,
蒸发量,蒸发量型,水量损失因素,
地形,地形型,地形影响因素,
水量损失因素,影响因素,,
地形影响因素,影响因素,,

森林,植被类型,,森林主要生态功能、涵养水源
陆地,地理单元,,
生态系统,系统类型,,
重要,修饰词,,
植被,自然要素,,
类型,概念,,
具有,动词,,
涵养,生态功能,,
水源,水资源,,
保持,生态功能,,
水土,自然要素,,
调节,生态功能,,
气候,自然要素,,
多种,修饰词,,
生态功能,功能类型,,
维护,动词,,
生态平衡,生态状态,,
意义,概念,,
重大,修饰词,,
主要,修饰词,,
森林主要生态功能,生态功能,森林,涵养水源
涵养水源,涵养水源型,森林主要生态功能,
提供木材,提供木材型,森林经济功能,
美化环境,美化环境型,森林景观功能,
森林经济功能,功能类型,,
森林景观功能,功能类型,,
红壤,土壤类型,,红壤酸碱性特征、酸性
分布,动词,,
南方,地理位置,,
湿热,气候特征,,
地区,地理单元,,
高温,温度特征,,
多雨,降水特征,,
气候条件,气候要素,,
发育,过程,,
土壤,自然要素,,
呈,动词,,
有机质,土壤成分,,
含量,指标,,
相对,修饰词,,
较低,修饰词,,
酸碱性,土壤性质,,
特征,概念,,
红壤酸碱性特征,土壤性质,红壤,酸性
酸性,酸性型,红壤酸碱性特征,
碱性,碱性型,盐碱土酸碱性特征,
中性,中性型,中性土壤酸碱性特征,
盐碱土酸碱性特征,土壤性质,,
中性土壤酸碱性特征,土壤性质,,
黑土,土壤类型,,黑土突出特点、肥沃
世界,地理范围,,
肥沃,土壤性质,,
东北平原,地理单元,,
高,修饰词,,
土层,土壤结构,,
深厚,修饰词,,
粮食,农产品,,
生产,活动,,
基地,区域,,
突出,修饰词,,
特点,概念,,
黑土突出特点,土壤特征,黑土,肥沃
肥沃,肥沃型,黑土突出特点,
贫瘠,贫瘠型,贫瘠土壤特点,
盐碱,盐碱型,盐碱土特点,
贫瘠土壤特点,土壤特征,,
盐碱土特点,土壤特征,,
荒漠,植被类型,,荒漠降水特点、稀少
荒漠植被,植被类型,荒漠,
干旱,气候特征,,
降水,气象要素,,
稀少,修饰词,,
植物,生物类型,,
种类,概念,,
少,修饰词,,
覆盖度,植被指标,,
低,修饰词,,
耐旱,植物特性,,
灌木,植物类型,,
草本,植物类型,,
荒漠降水特点,降水特征,荒漠,稀少
稀少,稀少型,荒漠降水特点,
丰富,丰富型,湿润区降水特点,
季节性强,季节性强型,季风区降水特点,
湿润区降水特点,降水特征,,
季风区降水特点,降水特征,,
草原,植被类型,,草原优势植物类型、草本
草原植被,植被类型,草原,
半干旱,气候特征,,
温带,气候带,,
畜牧业,产业类型,,
内蒙古高原,地理单元,,
优势,修饰词,,
草原优势植物类型,植物类型,草原,草本
草本,草本型,草原优势植物类型,
乔木,乔木型,森林优势植物类型,
灌木,灌木型,灌丛优势植物类型,
森林优势植物类型,植物类型,,
灌丛优势植物类型,植物类型,,

土壤侵蚀,地理过程,土壤退化,水力、风力、降水、破坏、移动
土壤退化,环境问题,土壤,
土壤,概念,,
指,概念,,
水力,外力作用,外力,降水
风力,外力作用,外力,
外力,概念,作用力,
作用,概念,,
发生,概念,,
破坏,过程,侵蚀,降水
移动,过程,侵蚀,
过程,概念,,
导致,因果关系,,
土地退化,环境问题,土地,
影响,概念,,
农业生产,人类活动,农业,
生态环境,环境,地理环境,
造成,因果关系,,
主要,修饰词,,
自然因素,因素,自然,降水
降水,降水型,气候要素,
温度,温度型,气候要素,
光照,光照型,气候要素,
盐碱土,土壤类型,土壤,干旱半干旱、沿海低洼、矿化度、含盐高
土壤类型,概念,土壤,
分布,空间特征,地理,
干旱半干旱地区,气候区,气候区划,盐碱土、含盐高
干旱,气候特征,气候,盐碱土
半干旱,气候特征,气候,
地区,空间概念,区域,
以及,概念,,
沿海,地理位置,地理,盐碱土
低洼地带,地形特征,地形,盐碱土
地带,空间概念,区域,
矿化度,土壤指标,土壤,含盐高
高,修饰词,,
作物,植物,农业,
生长,生物过程,生物,
需要,概念,,
通过,概念,,
灌溉,农业措施,农业,
淋洗,改良措施,土壤改良,
措施,概念,,
改良,农业活动,农业,
特征,概念,,
含盐高,含盐高型,土壤特征,
肥力高,肥力高型,土壤特征,
酸性强,酸性强型,土壤特征,
热带雨林,生态系统,森林生态,物种、繁多、植被茂密、丰富
森林,植被类型,植被,
生态系统,概念,生态学,
地球,天体,天体系统,
物种,生物概念,生物,繁多、丰富
极其,修饰词,,
繁多,多样性特征,生物多样性,丰富
植被,概念,生物,
茂密,植被特征,植被,
分层,结构特征,植被结构,
明显,修饰词,,
全年,时间,时间,
常绿,植被特征,植被,
调节,作用,,
全球气候,气候,气候系统,
方面,概念,,
发挥,概念,,
重要,修饰词,,
作用,概念,,
物种多样性,生物多样性,生物,丰富
多样性,概念,生物,
特点,概念,,
丰富,丰富型,多样性特征,
单一,单一型,多样性特征,
中等,中等型,多样性特征,
城市化,地理过程,城市地理,人口、城市、人口集聚、集中
城市地理,概念,地理,
人口,概念,,
向,概念,,
城市,概念,,
移动,过程,,
产业活动,经济活动,产业,
空间,概念,,
集中,过程,城市化,人口集聚
表现,概念,,
城市人口,人口类型,人口,人口集聚
比重,指标,,
上升,过程,,
城市用地,土地类型,城市,
规模,概念,,
扩大,过程,,
直接,修饰词,,
表现,概念,,
人口集聚,人口集聚型,城市化表现,
农业发展,农业发展型,经济现象,
工业衰退,工业衰退型,经济现象,
农业,概念,,
区位选择,地理决策,区位,气候、自然条件
区位,概念,地理,
选择,概念,,
综合,修饰词,,
考虑,概念,,
气候,气候型,自然条件,
地形,地形型,自然条件,
水源,水源型,自然条件,
自然条件,条件,自然,气候
市场,市场型,社会经济条件,
社会经济条件,条件,经济,
首要,修饰词,,
自然,概念,,
政策,政策型,社会因素,
技术,技术型,社会因素,

工业区位因素,区位因素,工业地理,原料、燃料、动力、市场、交通、劳动力、技术
工业地理,概念,地理,
区位因素,概念,地理,
包括,概念,,
原料,原料型,工业区位因素,
燃料,燃料型,工业区位因素,
动力,动力型,工业区位因素,
市场,市场型,工业区位因素,
交通,交通型,区位因素,
劳动力,劳动力型,工业区位因素,
技术,技术型,工业区位因素,
多个,数量词,,
方面,概念,,
不同,修饰词,,
类型,概念,,
主导,修饰词,,
有所不同,修饰词,,
钢铁工业,工业类型,工业,原料、燃料
工业,概念,,
主导区位因素,区位因素,工业区位,原料
环境,环境型,区位因素,
人口迁移,人口现象,人口地理,生计条件、就业机会、经济
人口地理,概念,地理,
人口,概念,,
地区,空间概念,区域,
空间移动,人口现象,人口,
移动,概念,,
受,概念,,
生计条件,经济条件,生活条件,经济
就业机会,经济因素,就业,经济
生活环境,环境,生活,
政策,社会因素,社会,
多种,数量词,,
影响,概念,,
首要,修饰词,,
经济,经济型,迁移因素,
气候,气候型,自然因素,
地形,地形型,自然因素,
交通运输方式,交通类型,交通运输,铁路、公路、水运、航空、管道
交通运输,概念,交通,
方式,概念,,
铁路,铁路型,交通运输方式,
公路,公路型,交通运输方式,
水运,水运型,交通运输方式,
航空,航空型,交通运输方式,
管道,管道型,交通运输方式,
多种类型,概念,,
各,概念,,
优缺点,特征,,
需要,概念,,
根据,概念,,
货物,概念,,
特点,概念,,
运输距离,交通参数,交通,
合理,修饰词,,
选择,概念,,
大宗货物,货物类型,货物,水运
大宗,修饰词,,
运输,交通活动,交通,
适宜,修饰词,,
商业中心,商业区位,商业,市场、交通、人口、可达性
商业,概念,,
中心,概念,,
形成,过程,,
发展,概念,,
可达性,交通条件,交通,
人口密集,人口特征,人口,
经济发达,经济特征,经济,
地区,空间概念,区域,
重要,修饰词,,
区位条件,区位因素,区位,交通
旅游资源,资源类型,旅游,自然旅游资源、人文旅游资源、山岳
旅游,概念,,
资源,概念,,
可分为,概念,,
自然旅游资源,资源类型,旅游资源,山岳、水体、气候
人文旅游资源,资源类型,旅游资源,文物古迹、民俗风情
两大类,分类,,
山岳,山岳型,自然旅游资源,
水体,水体型,自然旅游资源,
文物古迹,文物古迹型,人文旅游资源,
民俗风情,民俗风情型,人文旅游资源,
主要类型,概念,,
建筑,建筑型,人文旅游资源,
民俗,民俗型,人文旅游资源,

资源型城市,城市类型,城市,矿产资源、产业类型、经济转型、产业单一
城市,概念,,
矿产资源,资源类型,自然资源,资源开发
资源开发,经济活动,资源利用,矿产资源
产业类型,经济概念,产业结构,产业单一
产业结构,经济概念,经济,
集中,特征,分布特征,产业单一
资源枯竭,资源问题,资源,经济转型
经济转型,经济问题,经济发展,产业单一
发展,概念,,
依赖,关系,经济关系,产业单一
问题,概念,,
产业单一,产业单一型,资源型城市,
交通不便,交通不便型,交通问题,
人口稀少,人口稀少型,人口问题,
突出,修饰词,,
区域协调发展,发展战略,区域发展,统筹、空间布局、均衡发展、资源禀赋
区域发展,概念,区域,
统筹,发展理念,协调发展,资源禀赋
考虑,概念,,
各地区,空间概念,区域,
自然条件,地理条件,地理,资源禀赋
发展基础,经济条件,发展,资源禀赋
生态环境,环境,地理环境,
因素,概念,,
优化,概念,,
空间布局,规划概念,区域规划,资源禀赋
促进,概念,,
均衡发展,发展目标,区域发展,资源禀赋
基础条件,条件,发展条件,资源禀赋
资源禀赋,资源禀赋型,自然条件,
气候类型,气候类型型,气候,
地形特征,地形特征型,地形,
板块构造理论,地质理论,地质学,岩石圈、板块、地震、火山、造山运动
地质理论,概念,地质学,
地球,天体,天体系统,
岩石圈,地球圈层,地球结构,板块
板块,地质单元,岩石圈,板块边界、地震、火山
组成,概念,,
若干,数量词,,
板块边界,地质构造,板块,地震、火山、造山运动
相对运动,运动,板块运动,地震
导致,因果关系,,
地震,地震型,地质现象,
火山,火山型,地质现象,
造山运动,造山运动型,地质现象,
地质现象,概念,地质,
发生,概念,,
常见,修饰词,,
沉积,沉积型,地质作用,
风化,风化型,外力作用,
水循环,地理过程,水文过程,蒸发、水汽输送、降水、径流、太阳辐射
自然界,概念,,
水分,物质,水,
通过,概念,,
蒸发,水循环环节,水循环,太阳辐射
水汽输送,水循环环节,水循环,
降水,水循环环节,水循环,
径流,水循环环节,水循环,
环节,概念,,
不断,修饰词,,
运动,概念,,
转化,过程,,
过程,概念,,
联系,概念,,
海洋,地理圈层,地表,
陆地,地理圈层,地表,
大气,地理圈层,地球,
圈层,概念,地球结构,
能量来源,概念,,太阳辐射、地热、生物能
重要,修饰词,,
太阳辐射,太阳辐射型,能量,
地热,地热型,能量,
生物能,生物能型,能量,
大气环流,大气过程,大气运动,三圈环流、季风环流、热力差异
全球范围,空间范围,空间,
大规模,规模,特征,
主要,修饰词,,
包括,概念,,
三圈环流,环流类型,大气环流,热力差异
季风环流,环流类型,大气环流,
形式,概念,,
形成,过程,,
全球气候,气候,气候系统,
气候分布,气候特征,气候,
格局,概念,,
原因,概念,,
根本,修饰词,,
动力,概念,,
热力差异,热力差异型,大气环流动力,
地转偏向力,地转偏向力型,地球自转影响,
摩擦力,摩擦力型,作用力,

岩石圈物质循环,地质过程,地质作用,三大岩石、岩浆岩、沉积岩、变质岩、岩浆冷凝
地质作用,概念,地质,内力作用、外力作用
三大岩石,岩石类型,岩石,岩浆岩、沉积岩、变质岩
岩石类型,概念,岩石,岩浆岩、沉积岩、变质岩
岩石,概念,,
岩浆岩,概念,三大岩石,岩浆冷凝
沉积岩,概念,三大岩石,沉积压实
变质岩,概念,三大岩石,变质作用
岩浆,物质,地球内部物质,岩浆岩、岩浆冷凝
岩浆冷凝,岩浆冷凝型,岩浆岩,
沉积压实,沉积压实型,沉积岩,
变质作用,变质作用型,变质岩,
形成过程,地质过程,地质作用,岩浆冷凝、沉积压实、变质作用
地球内外力,动力,地质作用,内力作用、外力作用
内力作用,地质作用,地质作用,岩浆活动、地壳运动、变质作用
外力作用,地质作用,地质作用,风化、侵蚀、沉积
全球气候变暖,环境问题,气候变化,温室气体、海平面上升、极端天气
气候变化,概念,气候,
环境问题,概念,,
人类活动,影响因素,环境影响,温室气体排放
温室气体,温室气体型,气候变暖原因,
太阳活动,太阳活动型,气候影响因素,
火山喷发,火山喷发型,气候影响因素,
海平面上升,影响,气候变暖后果,
极端天气,影响,气候变暖后果,
气候变暖,环境问题,气候变化,温室气体
温室气体排放,人类活动,环境影响,温室气体
地壳运动,地质作用,内力作用,水平运动、垂直运动、地表形态、地球内部
内力,动力,地球内部,地壳运动、岩浆活动
地球内部,地球内部型,内力作用,
水平运动,运动类型,地壳运动,
垂直运动,运动类型,地壳运动,
地表形态,地形,地表,山地、高原、平原、盆地
塑造,地质过程,地质作用,地表形态
能量来源,概念,,地球内部、太阳辐射、潮汐力
动力,概念,能量,地球内部
太阳辐射,太阳辐射型,外力能量,
潮汐力,潮汐力型,天体作用,
风化作用,外力作用,外力作用,物理风化、化学风化、生物风化
岩石,物质,地表物质,
地表环境,环境,地理环境,气候、水、生物
温度变化,气候因素,气候,风化作用
水,外力因素,自然要素,化学风化、物理风化
生物,外力因素,自然要素,生物风化
破碎,风化过程,风化作用,物理风化
分解,风化过程,风化作用,化学风化
物理风化,风化类型,风化作用,
化学风化,风化类型,风化作用,
生物风化,风化类型,风化作用,
气候,气候型,影响因素,
纬度,纬度型,地理因素,
海拔,海拔型,地形因素,
影响因素,概念,,
生态系统,生态概念,生态学,生物群落、物质循环、能量流动、生产者、太阳能
生物群落,生态概念,生态系统,生产者、消费者、分解者
生存环境,生态概念,生态系统,
物质循环,生态过程,生态系统,
能量流动,生态过程,生态系统,太阳能
系统稳定,生态特征,生态系统,
生产者,生态角色,生物群落,光合作用、太阳能
光合作用,生理过程,生产者,太阳能
基础,生态特征,生态系统,生产者、光合作用、太阳能
太阳能,太阳能型,能量流动,
化学能,化学能型,能量,
热能,热能型,能量,
统一整体,系统特征,生态系统,




中国,国家,地理区域,西部地区、东部地区
我国,国家,地理区域,西部地区、东部地区
西部地区,区域,地理分区,西部特征、高原、盆地
东部地区,区域,地理分区,东部特征、平原
地势,地貌,地形特征,地势特征、西高东低
西高东低,地势特征,地势,阶梯分布、高度差异、西部区域
地势高峻,地形特征,西部地区,高原、盆地、山地
山脉,地形实体,地形,山地、山峰
山脉众多,地形特征,西部地区,高原、盆地
高原和盆地,地形组合,西部地区,高原、盆地
相间分布,分布特征,西部地区,高原、盆地
地形格局,空间格局,西部地区,高原、盆地
独特,修饰词,,
主要,修饰词,,
地形类型,概念,地形,
高原,高原型,地形,
平原,平原型,地形,
盆地,盆地型,地形,
西部特征,地理特征,地理,高原、盆地
东部特征,地理特征,地理,平原
西部区域,区域特征,地理分区,高原、盆地
地势特征,地形特征,地形,
阶梯分布,地势特征,地势,
高度差异,地势特征,地势,
地形特征,概念,地形,
地理分区,概念,地理,
地形,概念,,
地貌,概念,,
喀斯特地貌,特殊地貌,地貌,喀斯特特征、溶洞、石林
西南地区,区域,地理分区,喀斯特特征、溶洞、石林
可溶性岩石,岩石类型,岩石,喀斯特特征
石灰岩,岩石类型,可溶性岩石,喀斯特特征
流水,外力作用,自然营力,侵蚀、溶蚀、喀斯特特征
溶蚀作用,外力作用,流水作用,喀斯特特征、溶洞、石林
典型景观,景观,地貌,喀斯特特征
