关键字,分类,上级,下级
钠盐,地形地貌,盐类矿产,化工原料、内陆盐碱湖
石油,地形地貌,矿产资源,塔里木盆地、能源矿物
煤炭,地形地貌,矿产资源,沉积矿物、能源开发
柴达木盆地,地形地貌,盆地,青藏高原、聚宝盆、矿产丰富、海拔高、地质时期
聚宝盆,地形地貌,柴达木盆地,矿产资源、经济价值
古湖盆,地形地貌,柴达木盆地,地质历史、沉积环境
塔克拉玛干沙漠,地形地貌,塔里木盆地,中国最大沙漠、风力堆积
準噶尔盆地,地形地貌,盆地,新疆北部、阿尔泰山、天山
成都平原,地形地貌,四川盆地,盆地中心、物产丰富
天府之国,地形地貌,四川盆地,富饶之地、紫色土肥沃
山东丘陵,地形地貌,丘陵,我国东部、黄河冲积
辽东丘陵,地形地貌,丘陵,东北地区、地形过渡
东南丘陵,地形地貌,丘陵,江南地区、风化地貌
黄河,地形地貌,河流,华北平原、黄河冲积、古河道、河流分界
长江,地形地貌,河流,长江中下游平原、河流冲积、流水堆积
辽河,地形地貌,河流,东北平原、河流冲积
松花江,地形地貌,河流,东北平原、支流
黄土梁,地形地貌,黄土地貌,平顶高地
裂谷,地形地貌,板块张裂,东非大裂谷、张裂地貌
东非大裂谷,地形地貌,裂谷,非洲板块、典型张裂
非洲板块,地形地貌,板块运动,东非、张裂地貌
美洲板块,地形地貌,板块运动,南美洲、安第斯山脉
南极洲板块,地形地貌,板块运动,太平洋板块、安第斯山
纳斯卡板块,地形地貌,板块运动,太平洋、美洲板块
泰山,地形地貌,山地,中山、中国五岳
黄山,地形地貌,山地,中山、花岗岩地貌
珠穆朗玛峰,地形地貌,山地,世界最高、持续抬升、喜马拉雅
亚马孙平原,地形地貌,平原,世界最大平原、河流冲积
东欧平原,地形地貌,平原,欧洲、冰蚀冰碛
西西伯利亚平原,地形地貌,平原,俄罗斯、湖积冰碛
巴西高原,地形地貌,高原,南美洲、面积最大、古老陆块
古老陆块,地形地貌,巴西高原,地质历史、稳定陆核
年轻褶皱带,地形地貌,青藏高原,地质年轻、板块挤压
河流冲积,地形地貌,外力作用,泥沙堆积、平原形成、地势低
地质时期,地形地貌,地质过程,沉积、矿产形成、古湖盆
溶洞,地形地貌,喀斯特地貌,流水溶蚀、石灰岩、喀斯特、石笋
流水溶蚀,地形地貌,流水侵蚀,溶洞、峰林、喀斯特地貌、石灰岩
峡谷,地形地貌,河流侵蚀,河流深切、两侧陡峭、流水侵蚀
溶蚀,地形地貌,流水作用,石灰岩溶解、喀斯特、溶洞、沟壑纵横
石灰岩,地形地貌,岩石类型,可溶性、喀斯特地貌、溶蚀作用、云贵高原
水稻土,地形地貌,平原,长江中下游、湿润环境
垂直发育,地形地貌,黄土高原,地形特征、沟壑深度
草原荒漠,地形地貌,内蒙古高原,植被分布、降水梯度
古河道,地形地貌,华北平原,黄河变迁、地形痕迹
冲积扇边缘,地形地貌,华北平原,地势分界、形态特征
西风带,地形地貌,气候影响,準噶尔盆地、降水来源
鱼米之乡,地形地貌,长江中下游平原,农业生产、物产丰富
澜沧江,地形地貌,高原河流,青藏高原、河流发源
雅鲁藏布江,地形地貌,高原河流,青藏高原、深切峡谷
长江三峡,地形地貌,峡谷,长江侵蚀、巫山地区
雅鲁藏布江大峡谷,地形地貌,峡谷,世界最深、雅鲁藏布江
黄河壶口瀑布,地形地貌,瀑布,黄河侵蚀、陕西山西
瀑布,地形地貌,流水侵蚀,河流下切、水力侵蚀
风成地貌,地形地貌,外力地貌,风力堆积、黄土地貌
蒙古高原,地形地貌,高原,黄土来源、风力搬运
风蚀洼地,地形地貌,风力侵蚀,风力侵蚀、干旱地貌
风蚀柱,地形地貌,风力侵蚀,风力侵蚀、干旱地貌
大西洋,地形地貌,大洋,板块张裂、新洋盆
亚丁湾,地形地貌,张裂地带,沉积盆地、板块张裂
红海,地形地貌,张裂地带,板块张裂、裂谷海
印度洋板块,地形地貌,板块运动,青藏高原、张裂带
亚欧板块,地形地貌,板块运动,喜马拉雅、挤压边界
太平洋板块,地形地貌,板块运动,环太平洋、岛弧
石笋,地形地貌,喀斯特地貌,洞穴堆积、化学沉淀
峰林,地形地貌,喀斯特地貌,流水溶蚀、塔状山峰
峰丛,地形地貌,喀斯特地貌,溶蚀地貌、群峰结合
石柱,地形地貌,喀斯特地貌,垂直溶蚀、竖形山体
消亡边界,地形地貌,板块边界,板块碰撞、挤压隆起
生长边界,地形地貌,板块边界,板块张裂、洋底扩张
断块山,地形地貌,山地,断裂隆起、边界陡峭
褶皱山,地形地貌,山地,板块挤压、层状褶皱
褶皱山脉,地形地貌,板块挤压,喜马拉雅、阿尔卑斯
伸展应力,地形地貌,板块作用,板块张裂、拉张作用
压缩应力,地形地貌,板块作用,板块挤压、收缩作用
张力,地形地貌,地壳应力,裂谷形成、板块分离
挤压力,地形地貌,地壳应力,山脉形成、板块碰撞
物理风化,地形地貌,风化作用,温度变化、冻融作用
冻融风化,地形地貌,物理风化,高寒地区、温度循环
热胀冷缩,地形地貌,物理风化,裂缝形成、岩体破碎
化学风化,地形地貌,风化作用,矿物变化、水溶作用
生物风化,地形地貌,风化作用,生物活动、根系作用
风化壳,地形地貌,风化作用,表层风化、成土基础
第四纪冰期,地形地貌,地质时期,黄土堆积、气候寒冷
偏北风,地形地貌,风力特征,黄土搬运、蒙古高原
粉尘物质,地形地貌,黄土成分,粒径细小、矿物组成
洼地,地形地貌,地形,地表凹陷、积水区域
降水梯度,地形地貌,气候特征,东部湿润、西部干旱
微地貌,地形地貌,地貌,小尺度地形、局部特征
外力地貌,地形地貌,地貌,流水、风力、冰川、海水形成
内力地貌,地形地貌,地貌,板块运动、地壳运动形成
地壳抬升,地形地貌,地壳运动,板块挤压、山脉形成
隆起,地形地貌,板块挤压,地壳上升、褶皱山脉
海沟,地形地貌,板块挤压,消亡边界、板块俯冲
刚果盆地,地形地貌,盆地,非洲、世界最大盆地
河套平原,地形地貌,平原,黄河冲积、风成黄土
淮河,地形地貌,河流,华北平原、河流众多
海河,地形地貌,河流,华北平原、冲积
温带季风气候,地形地貌,气候类型,降水季节差异
亚热带季风气候,地形地貌,气候类型,雨热同期、长江流域
温带大陆性气候,地形地貌,气候类型,降水稀少、温差大
地中海气候,地形地貌,气候类型,夏旱冬湿
盛行西风,地形地貌,大气环流,准噶尔盆地、降水来源
雨热同期,地形地貌,气候特征,季风气候、农业生产
江南丘陵,地形地貌,丘陵,东南丘陵、植被丰富
浙闽丘陵,地形地貌,丘陵,东南地区、石灰岩分布
两广丘陵,地形地貌,丘陵,南部地区、喀斯特发育
巴丹吉林沙漠,地形地貌,沙漠,西北内陆、风力堆积
V型谷,地形地貌,河流侵蚀,谷壁陡峭、流水下切
水能资源,地形地貌,山地,阶梯差异、河流落差
地表隆起,地形地貌,内力作用,地壳上升、地形抬升
地壳变形,地形地貌,内力作用,板块挤压、褶皱
土层薄,地形地貌,喀斯特特征,岩石露出、土壤缺乏
耕地破碎,地形地貌,喀斯特特征,农业不利、机械难行
林业,地形地貌,产业,山地利用、生态保护
畜牧业,地形地貌,产业,高原丘陵、放牧利用
特色农业,地形地貌,产业,地形特殊、山地产品
旅游业,地形地貌,产业,山地风景、地貌特殊
搬运作用,地形地貌,外力作用,物质移动、三种形式
搬运介质,地形地貌,搬运作用,流水、风力、冰川
泥沙,地形地貌,搬运物质,河流携带、冲积形成
砾石,地形地貌,搬运物质,河流搬运、粗颗粒
沙尘,地形地貌,搬运物质,风力搬运、细颗粒
粉尘,地形地貌,搬运物质,黄土成分、风力搬运
岩块,地形地貌,搬运物质,冰川搬运、巨大物体
流动沙漠,地形地貌,沙漠类型,沙丘移动、塔克拉玛干
固定沙漠,地形地貌,沙漠类型,植被覆盖、沙丘稳定
半固定沙漠,地形地貌,沙漠类型,部分固定、过渡类型
雪线,地形地貌,冰川特征,海拔界限、冰雪界线
积雪,地形地貌,冰川基础,长年不化、冰川形成
永久冰雪,地形地貌,极地地貌,终年冻结、高山地区
冻融,地形地貌,风化作用,冰冻循环、岩体破碎
冻融作用,地形地貌,物理风化,高寒山区、断裂增加
岩体破碎,地形地貌,风化结果,碎屑形成、地表松散
成土基础,地形地貌,土壤形成,风化物质、母质来源
昼夜温差,地形地貌,气候特征,大陆性强、温度变化
年较差,地形地貌,气候特征,季节变化、温度差异
日较差,地形地貌,气候特征,日温变化、地带差异
降水季节差异,地形地貌,气候类型,季风特征、季节集中
全年降水,地形地貌,气候特征,降水总量、分布均衡
盆地地形,地形地貌,地形特征,四周高中间低、闭合
盆地周边,地形地貌,盆地特征,边际高峻、地势抬升
盆地内部地形,地形地貌,盆地特征,多样化、平原到丘陵
滩地,地形地貌,河流地形,河床平坦、季节变化
河滩,地形地貌,河流地形,流水堆积、河道两侧
河道,地形地貌,河流地形,流水通道、侵蚀形成
河流侵蚀,地形地貌,流水作用,河床下切、两侧侵蚀
河流堆积,地形地貌,流水作用,河床加高、横向扩展
河流搬运,地形地貌,流水作用,物质移动、能量巨大
河谷,地形地貌,河流地形,河流侵蚀、两侧陡峭、流水侵蚀
河口,地形地貌,河流地形,河海交界、三角洲形成
三角洲,地形地貌,河口地形,泥沙堆积、河流近海
冲积扇,地形地貌,堆积地形,山麓堆积、扇形分布
冲积平原,地形地貌,平原类型,河流冲积、地势低平
洪积平原,地形地貌,平原类型,山洪堆积、扇状分布
湖积平原,地形地貌,平原类型,湖泊沉积、古湖环境
