关键字,分类,上级,下级
整体性,人文与经济地理,整体性、整体性和差异性,整体性和差异性
整体性和差异性,决策型,其他、题目选项,整体性和差异性、整体性、差异性
整治,其他,整治,继续扩大传统工业规模
新,其他,新,新工业区
新兴,其他,新兴,意大利东北部和中部
新兴产业,其他,新兴产业,发展新兴产业和第三产业
新工业区,决策型,其他、题目选项,新工业区
方便,其他,方便,租金较低、方便工人上下班
方便工人上下班,人文与经济地理,租金较低、方便工人上下班,
方向,其他,方向,继续扩大传统工业规模
方式,其他,方式,铁路或水运
方格,其他,方格,方格放射式或环形放射式
方格放射式,人文与经济地理,方格放射式或环形放射式,
方格放射式或环形放射式,决策型,其他、题目选项,方格放射式或环形放射式、方格放射式、环形放射式
旅游,其他,旅游,交通、餐饮、住宿、购物
旅游业,其他,旅游业,交通、餐饮、住宿、购物
早期,其他,早期,港口和市场
早熟,人文与经济地理,早熟、耐寒,耐寒、早熟
更,其他,更,更快
更加,其他,更加,交通便利、物流高效
更加紧密,决策型,其他、题目选项,更加紧密
更快,决策型,其他、题目选项,更快
更新换代,其他,更新换代,矿产资源
最优,其他,最优,人口多、市场大、交通便利
最大,其他,最大,资源数量
最广,其他,最广,住宅区
最快,其他,最快,贵重、急需、轻型物品
最高,城市地理,最高,商业区
有,其他,有,气候湿润、土壤呈酸性、地形有坡度
有利,其他,有利,增加就业、促进工业化
有序,其他,有序,实现城市有序、高效、宜居发展
服装,其他,服装,人口稠密、工资较低地区
机动灵活,其他,机动灵活,短途、小批量、鲜活货物
机械,农业地理,机械,nan
机械化,人文与经济地理,机械化、规模化生产,美国中央大平原
机械化、规模化生产,决策型,其他、题目选项,机械化、规模化生产
条件,城市地理,条件,城市外缘、上风上水地带
来源,其他,来源,交通枢纽或人口密集区
林立,其他,林立,高楼林立、经济活动繁忙
枯竭,其他,枯竭,继续扩大传统工业规模
核心,其他,核心,发展
核心思想,其他,核心思想,人地协调、可持续发展
根本,其他,根本,实现城市有序、高效、宜居发展
模式,其他,模式,生态农业
欠发达,其他,欠发达,劳动密集型或资源密集型产业
死亡率,人口地理,死亡率,持续增长
比重,其他,比重,符合区域发展规律
气候,人文与经济地理,气候、地形、水源,生态功能
气候区,其他,气候区,园艺业、水果种植
气候湿润,人文与经济地理,气候湿润、土壤呈酸性、地形有坡度,
气候湿润、土壤呈酸性、地形有坡度,决策型,其他、题目选项,气候湿润、土壤呈酸性、地形有坡度
气温,其他,气温,人口工业集中、废热多、散热慢
水,城市地理,水,城市外缘、上风上水地带
水土流失,其他,水土流失,人类不合理活动
水域,人文与经济地理,水域、增加绿地和水域、节能减排,港阔水深、避风、地形平坦
水平,农业地理,水平,美国中央大平原
水果,其他,水果,商品率高、生产周期短
水果种植,人文与经济地理,园艺业、水果种植,
水深,其他,水深,港阔水深、避风、地形平坦
水源,决策型,其他、题目选项、地形、耕地、水源、气候,水源
水源便利,人文与经济地理,热量相对充足、水源便利,
水田,农业地理,水田,小农经营、单产高、商品率低
水电站,其他,水电站,动力导向型工业
水稻,其他,水稻,季风气候
水资源,其他,水资源,高耗水工业
水运,人文与经济地理,水运、铁路或水运,铁路或水运
污染,工业地理,污染,地价低、运输便利、污染小
污染小,人文与经济地理,地价低、运输便利、污染小,
污染集中,人文与经济地理,用地紧张、污染集中,
沙化,其他,沙化,人类不合理活动
河流,其他,河流,交通便利、人流物流集中
河谷,其他,河谷,热量相对充足、水源便利
治理,其他,治理,节能减排、优化布局
沿岸,其他,沿岸,供水、运输、防卫功能
沿河,其他,沿河,供水、运输、防卫功能
沿线,其他,沿线,区域发展的先行官
泥石流,其他,泥石流,保护生态、防治滑坡泥石流
注意,其他,注意,保护生态、防治滑坡泥石流
注重,其他,注重,品质、安全、多样化
活动,其他,活动,高楼林立、经济活动繁忙
海拔,其他,海拔,耐寒、早熟
消耗,其他,消耗,动力导向型工业
消费,其他,消费,生态可持续
消费市场,其他,消费市场,市场导向型工业
清洁,其他,清洁,清洁生产
清洁生产,决策型,其他、题目选项,清洁生产
温和,其他,温和,园艺业、水果种植
温度,农业地理,温度,nan
港,其他,港,港阔水深、避风、地形平坦
港口,人文与经济地理,港口、港口和市场,港阔水深、避风、地形平坦
港口和市场,决策型,其他、题目选项,港口和市场、港口、市场
港阔水深,人文与经济地理,港阔水深、避风、地形平坦,
港阔水深、避风、地形平坦,决策型,其他、题目选项,港阔水深、避风、地形平坦
湿地,其他,湿地,生态功能
湿润,其他,湿润,气候湿润、土壤呈酸性、地形有坡度
滑坡,其他,滑坡,保护生态、防治滑坡泥石流
滞后,其他,滞后,虚假城市化或滞后城市化
滞后城市化,人文与经济地理,虚假城市化或滞后城市化,
灌溉,其他,灌溉,水源
火电站,其他,火电站,动力导向型工业
炎热,其他,炎热,园艺业、水果种植
炼钢,其他,炼钢,动力导向型工业
炼铝,其他,炼铝,动力导向型工业
热带地区,决策型,其他、题目选项,热带地区
热量,其他,热量,耐寒、早熟
热量相对充足,人文与经济地理,热量相对充足、水源便利,
热量相对充足、水源便利,决策型,其他、题目选项,热量相对充足、水源便利
煤铁,其他,煤铁,港口和市场
牧业,其他,牧业,生产规模大、专业化程度高
物品,其他,物品,贵重、急需、轻型物品
物流,其他,物流,交通便利、物流高效
物流业,其他,物流业,交通便利、物流高效
物流高效,人文与经济地理,交通便利、物流高效,
特别,其他,特别,保护生态、防治滑坡泥石流
特点,农业地理,特点,小农经营、单产高、商品率低
玉米,农业地理,玉米,美国中央大平原
环境,其他,环境,资源数量
环境优美,其他,环境优美,新工业区
环境恶化,人文与经济地理,交通拥堵、住房紧张、环境恶化,
环境污染,其他,环境污染,远离居民区、位于下风下水地带
