关键字,分类,上级,下级
冻土扩张,选项词,题目选项,nan
冻害,锚点词,土壤与植被,灰化土
冻融,锚点词,土壤与植被,侵蚀、滑塌
冻融加强,选项词,题目选项,nan
净化环境,土壤与植被,能分解污染物，净化环境,
净化空气,土壤与植被,能调节气候，增加空气湿度，净化空气、净化空气，吸收有害气体，释放氧气,
净化空气，吸收有害气体，释放氧气,决策型,题目选项,净化空气、吸收有害气体、释放氧气
减少,锚点词,土壤与植被,森林→草原→荒漠
减少土壤侵蚀,土壤与植被,能涵养水源、保持水土，减少土壤侵蚀、植被恢复能增加植被覆盖度，减少土壤侵蚀，改善生态环境、保持水土，减少土壤侵蚀，防治土地荒漠化,
减少水分,土壤与植被,冬季落叶，减少水分和热量消耗，适应寒冷冬季,
减少水分和热量消耗,土壤与植被,冬季落叶，减少水分和热量消耗，适应寒冷冬季,
减少水分消耗,减少水分消耗型,题目选项,nan
减少水分蒸发,土壤与植被,植被以针叶树为主，叶片细小，表面有蜡质，减少水分蒸发,
减少水力,土壤与植被,植被根系能固定土壤，减少水力和风力侵蚀,
减少水力和风力侵蚀,土壤与植被,植被根系能固定土壤，减少水力和风力侵蚀,
减少水土流失,土壤与植被,能固定土壤，减少水土流失，改善生态环境、涵养水源，保持水土，减少水土流失,
减少沙漠扩张,土壤与植被,虽然植被稀疏，但能固定沙丘，减少沙漠扩张,
减少洪涝灾害,土壤与植被,涵养水源，调节地表径流，减少洪涝灾害,
减少热岛效应,土壤与植被,植被能降低地表温度，减少热岛效应,
减少风沙侵蚀,土壤与植被,根系发达，能固定土壤，减少风沙侵蚀、固定土壤，减少风沙侵蚀，防治土地荒漠化、荒漠植被能固定土壤，减少风沙侵蚀，延缓土壤退化,
减缓土壤蒸发,土壤与植被,能吸收少量水分，减缓土壤蒸发，改善局部微环境,
减缓径流、增加下渗,减缓径流、增加下渗型,题目选项,nan
分布区,锚点词,土壤与植被,南方水田区
分异,锚点词,土壤与植被,雨林→阔叶林→针叶林→苔原
分解,锚点词,土壤与植被,比较贫瘠
分解后能释放氮,土壤与植被,分解后能释放氮、磷、钾等养分，供植物吸收,
分解后能释放氮、磷、钾等养分，供植物吸收,决策型,题目选项,分解后能释放氮、钾等养分、供植物吸收
分解土壤有机质,土壤与植被,分解土壤有机质，释放氮、磷、钾等养分,
分解土壤有机质，释放氮、磷、钾等养分,决策型,题目选项,分解土壤有机质、释放氮、钾等养分
利用,土壤与植被,土壤资源数量有限，需合理保护和利用,
加剧,锚点词,土壤与植被,土层变薄、肥力下降
加剧土壤侵蚀,土壤与植被,过度开垦会破坏土壤结构，加剧土壤侵蚀,
加剧水土流失,土壤与植被,题目选项、加剧水土流失，引发洪涝、泥石流等灾害,
加剧水土流失，引发洪涝、泥石流等灾害,决策型,题目选项,加剧水土流失、引发洪涝、泥石流等灾害
加快径流、减少下渗,选项词,题目选项,nan
加快沙化,选项词,题目选项,nan
动植物,锚点词,土壤与植被,低温湿润区
动物的排泄物,土壤与植被,主要来源于植物的枯枝落叶、根系和动物的排泄物、尸体,
包括,锚点词,土壤与植被,只施化肥
匍匐,锚点词,土壤与植被,寒冷、大风
化肥,锚点词,土壤与植被,退化
北方地区多中性,土壤与植被,北方地区多中性、碱性土壤，如黑土、棕壤,
北方地区多中性、碱性土壤，如黑土、棕壤,决策型,题目选项,北方地区多中性、碱性土壤、如黑土、棕壤
区域,锚点词,土壤与植被,红壤
半干旱,锚点词,土壤与植被,草本
半干旱地区,土壤与植被,盐碱土多分布在干旱、半干旱地区，受地形和地下水影响、干旱、半干旱地区，蒸发旺盛，地下水盐分易上升到地表积累、风力侵蚀主要发生在干旱、半干旱地区，多形成沙丘、戈壁,
半湿润,锚点词,土壤与植被,肥力更高
半湿润、半干旱区,半湿润、半干旱区型,题目选项,nan
协调,锚点词,土壤与植被,壤土
南方地区多酸性土壤,土壤与植被,南方地区多酸性土壤，如红壤、砖红壤,
南方地区多酸性土壤，如红壤、砖红壤,决策型,题目选项,南方地区多酸性土壤、如红壤、砖红壤
南方水田区,南方水田区型,题目选项,nan
发展,锚点词,土壤与植被,土壤盐碱化
发育,锚点词,土壤与植被,肥力更高
发表,锚点词,土壤与植被,次生盐碱化
发达,锚点词,土壤与植被,干旱缺水
受地形,土壤与植被,盐碱土多分布在干旱、半干旱地区，受地形和地下水影响,
受地形和地下水影响,土壤与植被,盐碱土多分布在干旱、半干旱地区，受地形和地下水影响,
受气候,土壤与植被,土壤资源分布不均，受气候、地形等因素影响,
变小,锚点词,土壤与植被,干旱缺水
变差,锚点词,土壤与植被,退化
变薄,锚点词,土壤与植被,恶性循环
只施化肥,只施化肥型,题目选项,nan
可分为乔木层,土壤与植被,森林植被的垂直分层最明显，可分为乔木层、灌木层、草本层,
可施加石灰中,土壤与植被,红壤酸性强、质地黏重，可施加石灰中和酸性，添加砂土改善透气性,
可施加石灰中和酸性,土壤与植被,红壤酸性强、质地黏重，可施加石灰中和酸性，添加砂土改善透气性,
叶片,锚点词,土壤与植被,灰化土
叶片光合作用,选项词,题目选项,nan
叶片常绿,土壤与植被,叶片常绿，全年有叶，适应亚热带温暖湿润气候,
叶片常绿，全年有叶，适应亚热带温暖湿润气候,决策型,题目选项,叶片常绿、全年有叶、适应亚热带温暖湿润气候
叶片细小,土壤与植被,植被稀疏，多为耐旱植物，叶片细小或退化为刺、植被以针叶树为主，叶片细小，表面有蜡质，减少水分蒸发,
叶片细小或退化为刺,土壤与植被,植被稀疏，多为耐旱植物，叶片细小或退化为刺,
合理,锚点词,土壤与植被,持续培肥
合理利用土壤,土壤与植被,指导农业生产，合理利用土壤和植被资源，提高农作物产量,
合理利用土壤和植被资源,土壤与植被,指导农业生产，合理利用土壤和植被资源，提高农作物产量,
合理放牧能促进草原植被更新,土壤与植被,合理放牧能促进草原植被更新，维持土壤肥力,
合理放牧能促进草原植被更新，维持土壤肥力,决策型,题目选项,合理放牧能促进草原植被更新、维持土壤肥力、草原植被与土壤肥力相互影响。、草原植被与土壤肥力相互影响
合理施肥,土壤与植被,合理施肥、秸秆还田能提高土壤肥力,
合理施肥、秸秆还田能提高土壤肥力,决策型,题目选项,合理施肥、秸秆还田能提高土壤肥力
合理施肥能补充土壤养分,土壤与植被,合理施肥能补充土壤养分，提高土壤肥力,
合理施肥能补充土壤养分，提高土壤肥力,决策型,题目选项,合理施肥能补充土壤养分、提高土壤肥力
合理的人类活动（如植树造林）能增加植被覆盖度,土壤与植被,合理的人类活动（如植树造林）能增加植被覆盖度，改善生态环境,
合理的人类活动（如植树造林）能增加植被覆盖度，改善生态环境,决策型,题目选项,合理的人类活动（如植树造林）能增加植被覆盖度、改善生态环境
合理耕作,土壤与植被,合理耕作，避免过度开垦，能保护土壤结构,
合理耕作，避免过度开垦，能保护土壤结构,决策型,题目选项,合理耕作、避免过度开垦、能保护土壤结构
同一座山地,土壤与植被,同一座山地，海拔越高，植被类型越简单，从森林过渡为草甸、荒漠,
同一座山地，海拔越高，植被类型越简单，从森林过渡为草甸、荒漠,决策型,题目选项,同一座山地、海拔越高、植被类型越简单、从森林过渡为草甸、荒漠
向两极依次过渡为热带草原,土壤与植被,赤道附近为热带雨林，向两极依次过渡为热带草原、热带荒漠、温带草原等,
向内陆降水逐渐减少,土壤与植被,向内陆降水逐渐减少，依次过渡为草原、荒漠植被,
向内陆降水逐渐减少，依次过渡为草原、荒漠植被,决策型,题目选项,向内陆降水逐渐减少、依次过渡为草原、荒漠植被
含量,锚点词,土壤与植被,越高
吸收,锚点词,土壤与植被,生长不良
吸收有害气体,土壤与植被,净化空气，吸收有害气体，释放氧气,
吸水,锚点词,土壤与植被,植被退化、死亡
吹蚀,锚点词,土壤与植被,沙漠
呈强酸性,选项词,题目选项,nan
呈现,锚点词,土壤与植被,森林→草原→荒漠
呈碱性,呈碱性型,题目选项,nan
呈酸性,土壤与植被,题目选项、红土颜色红，氧化铁含量高，呈酸性,
呼吸,锚点词,土壤与植被,壤土
啃食,锚点词,土壤与植被,土壤沙化、退化
四川盆地,四川盆地型,题目选项,nan
因为光照充足,土壤与植被,山地的阳坡植被生长比阴坡好，因为光照充足,
因为降水丰富,土壤与植被,山地的迎风坡植被生长比背风坡好，因为降水丰富,
因地制宜,土壤与植被,因地制宜，选择适合当地气候和土壤条件的植物品种,
因地制宜，选择适合当地气候和土壤条件的植物品种,决策型,题目选项,因地制宜、选择适合当地气候和土壤条件的植物品种、选择适合当地气候、土壤条件的植物品种
固定土壤,土壤与植被,固定土壤，减少风沙侵蚀，防治土地荒漠化,
固定土壤能力强,土壤与植被,根系发达，能深入地下吸收水分和养分，固定土壤能力强,
固定土壤，减少风沙侵蚀，防治土地荒漠化,决策型,题目选项,固定土壤、减少风沙侵蚀、防治土地荒漠化
固定沙丘、减弱风蚀,固定沙丘、减弱风蚀型,题目选项,nan
土体,锚点词,土壤与植被,侵蚀、滑塌、侵蚀、滑塌
土地利用规划提供科学依据,土壤与植被,为生态环境保护、土地利用规划提供科学依据,
土地沙化,选项词,题目选项,nan
土地荒漠化,土壤与植被,保护生态环境，防治土壤侵蚀和土地荒漠化，维护生态平衡,
土壤,土壤与植被,土壤与植被、陆生植被的分布主要受气候、土壤、地形等因素影响,成土因素、土壤性质、土壤类型、土壤肥力、保持水土、保肥、冰沼土、冲积土、冻土、冻土发育、冻土扩大、冻土扩张、土壤极肥沃、土壤熟化、土壤肥力上升、土壤肥力提高、土层加厚、肥力上升、土层厚、植被好、土层变薄、肥力下降、土层更薄、土层浅薄、土层深厚、土层薄、植被差、壤土、多为黑土、寒冷冻土、寒冷冻土广、森林 — 黑土、灰化土、盐碱荒漠、盐碱重、植被少、砂土、砖红壤、草原 — 黑钙土、荒漠 — 荒漠土、酸性、泥炭化、风沙土、黏土、黑钙土
土壤与植被,生物地理,地理自然系统,土壤、植被、生物循环、一样、一致、中性、熟化、中性、肥沃、光照过强、养分保持、农田、冠层厚、枯枝落叶多、冻融加强、减少水分消耗、减缓径流、增加下渗、加快径流、减少下渗、南方水田区、只施化肥、叶片光合作用、呈强酸性、呈碱性、固定沙丘、减弱风蚀、增加光合作用、增施有机肥、大量浇水、完全不同、干湿分明、开花结果、弱、强、持续培肥、施用石灰、更加茂盛、更肥沃、有机质低、有机质分解快、流失多、有机质极高、有机质高、根系呼吸、根系更浅、比较贫瘠、气温太低、水分储存、水分短缺、水热充足、循环快、江南丘陵、沉积、加厚、沙漠、泥沙淤积、养分丰富、浅薄贫瘠、海岸线、淋溶极强、深厚肥沃、熟化、肥沃、生长不良、相反、矿物养分丰富、碱性强、肥力高、绿洲、肥力提高、肥力更高、蒸发更少、蒸发极强、西北盆地、覆盖更低、质地变粗、肥力下降、质地变细、肥力上升、酸性强、肥力低、酸性更强、降低下渗、增加径流、陡峭山区、雪线、青藏高原区、非常肥沃、高产农田、高寒区、土层厚、植被好
土壤侵蚀,锚点词,土壤与植被,降水
土壤侵蚀作用越强,土壤与植被,坡度越大，土壤侵蚀作用越强，土层越薄,
土壤侵蚀越严重,土壤与植被,植被覆盖度越低，土壤侵蚀越严重,
土壤保水性是指土壤保持水分的能力,土壤与植被,土壤保水性是指土壤保持水分的能力，与土壤质地密切相关,
土壤保水性是指土壤保持水分的能力，与土壤质地密切相关,决策型,题目选项,土壤保水性是指土壤保持水分的能力、与土壤质地密切相关、土壤质地密切相关
土壤保水性过强,土壤与植被,土壤保水性过强，会导致土壤积水，影响植物根系呼吸,
土壤保水性过强，会导致土壤积水，影响植物根系呼吸,决策型,题目选项,土壤保水性过强、会导致土壤积水、影响植物根系呼吸、保水性适中最好，过强会导致涝灾。
土壤养分主要来源于土壤有机质分解,土壤与植被,土壤养分主要来源于土壤有机质分解和矿物质风化,
土壤养分主要来源于土壤有机质分解和矿物质风化,决策型,题目选项,土壤养分主要来源于土壤有机质分解、矿物质风化
土壤养分含量是重要的评价指标,土壤与植被,土壤有机质含量、土壤养分含量是重要的评价指标,
土壤冻结,锚点词,土壤与植被,苔原
土壤发育速度快于阴坡,土壤与植被,阳坡接受太阳辐射多，气温高，土壤发育速度快于阴坡,
土壤含水量越高,土壤与植被,土壤含水量越高，空气含量越低,
土壤含水量越高，空气含量越低,决策型,题目选项,土壤含水量越高、空气含量越低、不一定降低空气含量
土壤呈酸性,土壤与植被,土壤呈酸性，有机质含量较低，肥力中等,
土壤呈酸性，有机质含量较低，肥力中等,决策型,题目选项,土壤呈酸性、有机质含量较低、肥力中等
土壤多碱性,土壤与植被,温带大陆性气候区，降水少，蒸发旺盛，土壤多碱性，有机质含量较高,
土壤形成是一个漫长的过程,土壤与植被,土壤形成是一个漫长的过程，需要数百年甚至上千年,
土壤形成是一个漫长的过程，需要数百年甚至上千年,决策型,题目选项,土壤形成是一个漫长的过程、需要数百年甚至上千年
土壤形成的顺序是：成土母质→原始土壤→成熟土壤,决策型,题目选项,
土壤影响植被的生长,土壤与植被,植被改变土壤的理化性质，土壤影响植被的生长和分布,
土壤影响植被的生长和分布,土壤与植被,植被改变土壤的理化性质，土壤影响植被的生长和分布,
土壤微生物能分解土壤有机质,土壤与植被,土壤微生物能分解土壤有机质，释放养分，供植物吸收,
土壤微生物能分解土壤有机质，释放养分，供植物吸收,决策型,题目选项,土壤微生物能分解土壤有机质、释放养分、供植物吸收、土壤微生物多数有益
土壤微生物能改善土壤结构,土壤与植被,土壤微生物能改善土壤结构，增加土壤透气性,
土壤微生物能改善土壤结构，增加土壤透气性,决策型,题目选项,土壤微生物能改善土壤结构、增加土壤透气性
土壤性质,生物地理,土壤,土壤质地、土壤酸碱性、土壤结构、有机质
土壤是农业生产的基础,土壤与植被,土壤是农业生产的基础，保护土壤能保障粮食安全,
土壤是农业生产的基础，保护土壤能保障粮食安全,决策型,题目选项,土壤是农业生产的基础、保护土壤能保障粮食安全
土壤有机质分解慢,土壤与植被,寒带气候区，气温低，土壤有机质分解慢，土层薄,
土壤有机质分解速度越快,土壤与植被,气温越高，土壤有机质分解速度越快，有机质含量越低,
土壤有机质含量,土壤与植被,土壤有机质含量、土壤养分含量是重要的评价指标,
土壤有机质含量、土壤养分含量是重要的评价指标,决策型,题目选项,土壤有机质含量、土壤养分含量是重要的评价指标
土壤有机质含量越高,土壤与植被,土壤有机质含量越高，土壤肥力通常越高、土壤有机质含量越高，颜色越深（如黑土）,
土壤有机质含量越高，土壤肥力通常越高,决策型,题目选项,土壤有机质含量越高、土壤肥力通常越高
土壤有机质含量越高，颜色越深（如黑土）,决策型,题目选项,土壤有机质含量越高、颜色越深（如黑土）、土壤颜色是肥力的重要参考，如黑土肥力高。
土壤有机质含量较高,土壤与植被,土壤有机质含量较高，肥力较强,
土壤有机质含量较高，肥力较强,决策型,题目选项,土壤有机质含量较高、肥力较强
土壤有机质含量高,土壤与植被,土壤有机质含量高，颜色呈黑色，质地疏松,
土壤有机质含量高，颜色呈黑色，质地疏松,决策型,题目选项,土壤有机质含量高、颜色呈黑色、质地疏松
土壤条件的植物品种,土壤与植被,植被恢复应选择适合当地气候和土壤条件的植物品种、因地制宜，选择适合当地气候和土壤条件的植物品种,
土壤极肥沃,选项词,题目选项,nan
土壤水分,锚点词,土壤与植被,黏土
土壤水分不足,土壤与植被,土壤水分不足，植物会缺水枯萎；水分过多，会导致根系缺氧腐烂,
土壤水分不足，植物会缺水枯萎；水分过多，会导致根系缺氧腐烂,决策型,题目选项,土壤水分不足、植物会缺水枯萎、水分过多、会导致根系缺氧腐烂
土壤水分含量通常越高,土壤与植被,降水越多，土壤水分含量通常越高,
土壤沙化、退化,土壤沙化、退化型,题目选项,nan
土壤淋溶作用强,土壤与植被,热带季风气候区，降水丰富，土壤淋溶作用强，多酸性土壤,
土壤熟化,选项词,题目选项,nan
