关键字,分类,上级,下级
内蒙古高原,地形地貌,高原,坦荡开阔、风力作用、草原荒漠、风力侵蚀、风力堆积
冰川侵蚀,地形地貌,侵蚀作用,冰斗、角峰、U形谷
冰川地貌,地形地貌,外力地貌,U形谷、角峰、冰碛平原
冰川堆积,地形地貌,堆积作用,冰碛丘、冰碛平原
冰川融化时,地形与地貌,冰川融化时，携带的物质堆积,
冰川融化时，携带的物质堆积,决策型,题目选项,冰川融化时、携带的物质堆积、冰川堆积物分选差
冰斗,决策型,题目选项,
冰碛丘,决策型,题目选项,冰碛丘（冰川堆积）
冰碛丘陵,决策型,题目选项,
冰碛平原,决策型,题目选项,冰碛丘陵、冰碛平原是冰川堆积地貌
冲积平原,地形地貌,平原类型,河流冲积、地势低平
冲积扇,决策型,堆积地形、题目选项,山麓堆积、扇形分布、冲积扇是流水堆积地貌
冲积扇形成于河流山口,地形与地貌,冲积扇形成于河流山口，三角洲形成于河流入海口,
冲积扇形成于河流山口，三角洲形成于河流入海口,决策型,题目选项,冲积扇形成于河流山口、三角洲形成于河流入海口
冲积扇边缘,地形地貌,华北平原,地势分界、形态特征
冻融,地形地貌,风化作用,冰冻循环、岩体破碎
冻融作用,地形地貌,物理风化,高寒山区、断裂增加
冻融风化,地形地貌,物理风化,高寒地区、温度循环
准噶尔盆地,决策型,题目选项,塔里木和准噶尔盆地干旱、准噶尔盆地干旱
凸岸流速慢,地形与地貌,凸岸流速慢，以堆积为主,
凸岸流速慢，以堆积为主,决策型,题目选项,凸岸流速慢、以堆积为主、凸岸堆积
凹岸流速快,地形与地貌,凹岸流速快，以侵蚀为主,
凹岸流速快，以侵蚀为主,决策型,题目选项,凹岸流速快、以侵蚀为主、凹岸侵蚀
分为海蚀地貌,地形与地貌,分为海蚀地貌和海积地貌,
分为海蚀地貌和海积地貌,决策型,题目选项,分为海蚀地貌、海积地貌、海岸地貌分布在沿海地区
分选性好,地形与地貌,沙粒大小均匀，分选性好,
刚果盆地,地形地貌,盆地,非洲、世界最大盆地
包括溶蚀,地形与地貌,包括溶蚀和堆积两个过程,
包括溶蚀和堆积两个过程,决策型,题目选项,包括溶蚀、堆积两个过程、包括溶蚀和化学堆积、包括溶蚀
化学风化,地形地貌,风化作用,矿物变化、水溶作用
半固定沙漠,地形地貌,沙漠类型,部分固定、过渡类型
华北平原,地形地貌,平原,黄河冲积、旱涝灾害、盐碱化、黄河、古河道
南极地区,决策型,题目选项,南极
南极洲板块,地形地貌,板块运动,太平洋板块、安第斯山
印度洋板块,地形地貌,板块运动,青藏高原、张裂带
压缩应力,地形地貌,板块作用,板块挤压、收缩作用
受海浪,地形与地貌,受海浪、潮汐等作用形成,
受海浪、潮汐等作用形成,决策型,题目选项,受海浪、潮汐等作用形成
古河道,地形地貌,华北平原,黄河变迁、地形痕迹
古湖盆,地形地貌,柴达木盆地,地质历史、沉积环境
古老陆块,地形地貌,巴西高原,地质历史、稳定陆核
向斜岩层向下弯曲,地形与地貌,向斜岩层向下弯曲，常形成谷地,
向斜岩层向下弯曲，常形成谷地,决策型,题目选项,向斜岩层向下弯曲、常形成谷地、向斜成谷是常见情况
向斜槽部受挤压,地形与地貌,向斜槽部受挤压，岩石坚硬,
向斜槽部受挤压，岩石坚硬,决策型,题目选项,向斜槽部受挤压、岩石坚硬、向斜槽部岩石坚硬
呈半圆形洼地,地形与地貌,呈半圆形洼地，底部平坦,
呈半圆形洼地，底部平坦,决策型,题目选项,呈半圆形洼地、底部平坦
呈圆锥形,决策型,题目选项,
呈长条状延伸,决策型,题目选项,黄土梁是长条状延伸
周围山地隆起,决策型,题目选项,周围地壳隆起（如四川盆地）形成
喀斯特地貌,地形与地貌,外力地貌、喀斯特地貌与石灰岩、湿润气候相关,溶洞、石林、峰林、石灰岩、溶蚀作用、流水溶蚀
喀斯特地貌与石灰岩,地形与地貌,喀斯特地貌与石灰岩、湿润气候相关,
喀斯特地貌与石灰岩、湿润气候相关,决策型,题目选项,喀斯特地貌与石灰岩、喀斯特地貌、石灰岩、湿润气候相关
喀斯特峰林,决策型,题目选项,峰林
喜马拉雅山脉,决策型,山地、题目选项,消亡边界、板块挤压、地壳抬升、世界屋脊、珠穆朗玛峰、喜马拉雅山（板块挤压）
四周高,地形与地貌,中间低、四周高,
四川盆地,地形地貌,盆地,紫色土、气候湿润、地势低、四周环山、天府之国、河网密布
围湖造田,地形与地貌,围湖造田，改变地貌形态,
围湖造田，改变地貌形态,决策型,题目选项,围湖造田、改变地貌形态、人类活动可以显著改变局部地貌形态
固定沙漠,地形地貌,沙漠类型,植被覆盖、沙丘稳定
土壤肥沃,地形与地貌,土层深厚，土壤肥沃,
土层深厚,决策型,题目选项、土层深厚，土壤肥沃,
土层深厚，土壤肥沃,决策型,题目选项,土层深厚、土壤肥沃、土层厚
土层薄,地形地貌,喀斯特特征,岩石露出、土壤缺乏
地中海气候,地形地貌,气候类型,夏旱冬湿
地势平坦,决策型,题目选项、地势平坦，便于耕作,平原平坦
地势平坦，便于耕作,决策型,题目选项,地势平坦、便于耕作
地势起伏,地形与地貌,地势起伏和缓,
地势起伏和缓,决策型,题目选项,地势起伏、起伏和缓、起伏
地势起伏大,地形与地貌,山地海拔较高，地势起伏大,
地势起伏较大,决策型,题目选项,起伏较大
地势起伏较小,决策型,题目选项,
地势陡峭,决策型,题目选项,山势陡峭
地堑谷地,决策型,题目选项,
地壳下陷,决策型,题目选项,盆地可由地壳下陷（如构造盆地）
地壳变形,地形地貌,内力作用,板块挤压、褶皱
地壳抬升,决策型,地壳运动、题目选项,板块挤压、山脉形成、高原主要由地壳抬升
地壳相对稳定,地形与地貌,地壳相对稳定，侵蚀作用较弱,
地壳相对稳定，侵蚀作用较弱,决策型,题目选项,地壳相对稳定、侵蚀作用较弱、在相对稳定
地壳运动,地形地貌,内力作用,板块运动、水平挤压、张裂下陷、地壳抬升
地形,地形地貌,地形地貌,地形基本类型、海拔、起伏、坡度
地形地貌,地形地貌,地理自然系统,地形、地貌、地质作用、地壳运动
地形基本类型,地形地貌,地形,山地、高原、丘陵、平原、盆地
地理自然系统,通用,无,地形地貌、气象与气候、水文地理、土壤与植被
地表形态始终处于不断变化中,决策型,题目选项,
地表隆起,地形地貌,内力作用,地壳上升、地形抬升
地貌,地形地貌,地形地貌,外力地貌、内力地貌、微地貌
地貌类型可能发生变化,地形与地貌,随海拔升高，地貌类型可能发生变化,
地质作用,地形地貌,地形地貌,内力作用、外力作用
地质时期,地形地貌,地质过程,沉积、矿产形成、古湖盆
均为流水堆积地貌,决策型,题目选项,两者都是流水堆积地貌，但形成位置不同。、两者都是流水堆积地貌
均由地下水中的碳酸钙沉积形成,决策型,题目选项,
坡度,地形地貌,地形,陡坡、缓坡、阳坡、阴坡
坡积扇,决策型,题目选项,形成坡积扇
垂直发育,地形地貌,黄土高原,地形特征、沟壑深度
垂直节理发育,地形与地貌,岩层坚硬且垂直节理发育,
堆积两个过程,地形与地貌,包括溶蚀和堆积两个过程,
堆积作用,地形地貌,外力作用,流水堆积、风力堆积、冰川堆积、海水堆积
堆积强,地形与地貌,平原地区河流流速慢，堆积强,
堆积物分选性差,地形与地貌,堆积物分选性差，大小混杂,
堆积物分选性差，大小混杂,决策型,题目选项,堆积物分选性差、大小混杂、冰川堆积物分选差
塔克拉玛干沙漠,地形地貌,塔里木盆地,中国最大沙漠、风力堆积
塔里木盆地,决策型,盆地、题目选项,深居内陆、气候干旱、沙漠广布、风力堆积、塔克拉玛干沙漠、塔里木和准噶尔盆地干旱、塔里木
外力作用,地形地貌,地质作用,风化、侵蚀、搬运、堆积、河流冲积
外力作用使地表趋于平坦,决策型,题目选项,内力作用塑造基本格局，使地表起伏；外力作用削高填低，使地表趋于平坦。两者共同作用，内力主导大尺度形态。、使地表趋于平坦
外力作用修饰地表形态,决策型,题目选项,
外力作用共同推动地貌演化,地形与地貌,内力作用和外力作用共同推动地貌演化,
外力地貌,地形地貌,地貌,流水、风力、冰川、海水形成
多呈垄脊状,地形与地貌,形态奇特，多呈垄脊状,
多呈网状,地形与地貌,平原地区交通线路密集，多呈网状,
多峡谷,地形与地貌,上游以侵蚀作用为主，多峡谷,
多平原,地形与地貌,下游以堆积作用为主，多平原,
多陡崖,地形与地貌,多陡崖、峰林,
多陡崖、峰林,决策型,题目选项,多陡崖、峰林、峰林
大小混杂,地形与地貌,堆积物分选性差，大小混杂,
大西洋,地形地貌,大洋,板块张裂、新洋盆
天府之国,地形地貌,四川盆地,富饶之地、紫色土肥沃
太平洋板块,地形地貌,板块运动,环太平洋、岛弧
安第斯山脉,地形地貌,山地,美洲板块、太平洋板块、碰撞挤压、世界最长
山东丘陵,地形地貌,丘陵,我国东部、黄河冲积
山地,地形地貌,地形基本类型,海拔500米以上、坡度陡、峰谷相间、褶皱山、断块山
山地地区交通线路多沿河谷,地形与地貌,山地地区交通线路多沿河谷、等高线布局,
山地地区交通线路多沿河谷、等高线布局,决策型,题目选项,山地地区交通线路多沿河谷、等高线布局、平原交通建设便利，山地多沿河谷或盘旋。高原（如青藏高原）交通建设难度大。、山地多沿河谷或盘旋、山地多沿河谷
山地地区河流流速快,地形与地貌,山地地区河流流速快，侵蚀强,
山地地区河流流速快，侵蚀强,决策型,题目选项,山地地区河流流速快、侵蚀强、山地河流落差大
山地地区适合发展林业,决策型,题目选项,
山地多由地壳隆起形成,决策型,题目选项,山地可由地壳隆起（褶皱山、断块山）或火山喷发形成，但不都是火山喷发形成。、山地可由地壳隆起（褶皱山
山地海拔较高,地形与地貌,山地海拔较高，地势起伏大,
山地海拔较高，地势起伏大,决策型,题目选项,山地海拔较高、地势起伏大
山地迎风坡降水多,地形与地貌,山地迎风坡降水多，背风坡降水少,
山地迎风坡降水多，背风坡降水少,决策型,题目选项,山地迎风坡降水多、背风坡降水少、迎风坡地形雨多
山岭,决策型,题目选项,常形成山岭
岛弧,决策型,题目选项,岛弧（如日本群岛）
岩体破碎,地形地貌,风化结果,碎屑形成、地表松散
岩块,地形地貌,搬运物质,冰川搬运、巨大物体
岩层呈红色,决策型,题目选项,
岩层坚硬,地形与地貌,岩层坚硬且垂直节理发育,
岩层坚硬且垂直节理发育,决策型,题目选项,岩层坚硬、垂直节理发育
岩层疏松易风化,决策型,题目选项,
岩浆活动形成火山地貌,决策型,题目选项,岩浆活动形成火山，沉积作用形成沉积地貌。变质作用发生在地下，不直接形成地表地貌。、岩浆活动形成火山、沉积作用形成沉积地貌、不直接形成地表地貌
岩石坚硬,地形与地貌,向斜槽部受挤压，岩石坚硬,
岩石性质,决策型,题目选项,岩石性质和气候是重要自然因素
岩石疏松,地形与地貌,岩石疏松，易被侵蚀,
岩石疏松，易被侵蚀,决策型,题目选项,岩石疏松、易被侵蚀、岩石疏松
岩石越松软,地形与地貌,岩石越松软，越易被侵蚀,
岩石越松软，越易被侵蚀,决策型,题目选项,岩石越松软、越易被侵蚀
峡谷,决策型,河流侵蚀、题目选项,河流深切、两侧陡峭、流水侵蚀、峡谷（侵蚀）、峡谷（流水侵蚀）
峰丛,决策型,喀斯特地貌、题目选项,溶蚀地貌、群峰结合
峰林,决策型,喀斯特地貌、题目选项、多陡崖、峰林,流水溶蚀、塔状山峰
巴丹吉林沙漠,地形地貌,沙漠,西北内陆、风力堆积
巴西高原,地形地貌,高原,南美洲、面积最大、古老陆块
常形成山岭,地形与地貌,背斜岩层向上拱起，常形成山岭,
常形成谷地,地形与地貌,向斜岩层向下弯曲，常形成谷地,
干旱地区多风力地貌,决策型,题目选项,干旱区风成地貌为主
平原,地形地貌,地形基本类型,海拔200米以下、平坦开阔、河网密布、冲积平原、河流冲积
平原地区交通线路密集,地形与地貌,平原地区交通线路密集，多呈网状,
平原地区交通线路密集，多呈网状,决策型,题目选项,平原地区交通线路密集、多呈网状
平原地区气候更温,地形与地貌,平原地区气候更温和，温差小,
平原地区气候更温和,地形与地貌,平原地区气候更温和，温差小,
平原地区气候更温和，温差小,决策型,题目选项,平原地区气候更温和、平原地区气候更温、温差小、平原温差相对较小
平原地区河流流速慢,地形与地貌,平原地区河流流速慢，堆积强,
平原地区河流流速慢，堆积强,决策型,题目选项,平原地区河流流速慢、堆积强、山地河流落差大，流速快；平原河流流速慢。盆地河流不一定是内流河（如四川盆地是外流区）。、平原河流流速慢
平原地区适合发展种植业,决策型,题目选项,
年轻褶皱带,地形地貌,青藏高原,地质年轻、板块挤压
年较差,地形地貌,气候特征,季节变化、温度差异
广西桂林,决策型,题目选项,
底部平坦,地形与地貌,呈半圆形洼地，底部平坦,
张力,地形地貌,地壳应力,裂谷形成、板块分离
形态奇特,地形与地貌,形态奇特，多呈垄脊状,
形态奇特，多呈垄脊状,决策型,题目选项,形态奇特、多呈垄脊状
微地貌,地形地貌,地貌,小尺度地形、局部特征
戈壁,决策型,题目选项,戈壁（风蚀）
成土基础,地形地貌,土壤形成,风化物质、母质来源
成都平原,地形地貌,四川盆地,盆地中心、物产丰富
扇缘物质颗粒较细,决策型,题目选项,颗粒细
扇顶物质颗粒较粗,决策型,题目选项,颗粒粗
挤压力,地形地貌,地壳应力,山脉形成、板块碰撞
搬运介质,地形地貌,搬运作用,流水、风力、冰川
搬运作用,地形地貌,外力作用,物质移动、三种形式
携带的物质堆积,地形与地貌,冰川融化时，携带的物质堆积,
改变地表坡度,地形与地貌,修建梯田，改变地表坡度,
改变地貌形态,地形与地貌,围湖造田，改变地貌形态,
断块山,决策型,山地、题目选项,断裂隆起、边界陡峭
断层两侧岩层有明显位移,决策型,题目选项,
断层两侧岩层相对位置发生改变,决策型,题目选项,
断层是地壳运动的产物,决策型,题目选项,断层是地壳运动（内里）形成的，常引发地震。、断层是地壳运动（内里）形成的
断层是岩层断裂并发生位移形成的,决策型,题目选项,断层是岩层断裂并位移，能形成断块山、地堑谷等地貌，对地表形态影响显著。、断层是岩层断裂并位移
断层湖,决策型,题目选项,
旅游业,地形地貌,产业,山地风景、地貌特殊
日较差,地形地貌,气候特征,日温变化、地带差异
易被侵蚀,地形与地貌,岩石疏松，易被侵蚀,
昼夜温差,地形地貌,气候特征,大陆性强、温度变化
松花江,地形地貌,河流,东北平原、支流
板块张裂,地形地貌,板块运动,裂谷、海洋、生长边界、板块分离、张力
板块挤压,地形地貌,板块运动,隆起、褶皱山脉、海沟、消亡边界、地壳抬升
板块碰撞挤压,决策型,题目选项,板块挤压隆起形成
板块运动,地形地貌,地壳运动,板块碰撞、板块张裂、消亡边界、生长边界
林业,地形地貌,产业,山地利用、生态保护
柴达木盆地,地形地貌,盆地,青藏高原、聚宝盆、矿产丰富、海拔高、地质时期
植被破坏,地形与地貌,黄土高原千沟万壑的地表与植被破坏、流水侵蚀相关,
气候条件,决策型,题目选项,
气候湿润,地形与地貌,气候湿润、降水丰富,
气候湿润、降水丰富,决策型,题目选项,气候湿润、降水丰富、湿润气候是关键
水稻土,地形地貌,平原,长江中下游、湿润环境
水能资源,地形地貌,山地,阶梯差异、河流落差
永久冰雪,地形地貌,极地地貌,终年冻结、高山地区
江南丘陵,地形地貌,丘陵,东南丘陵、植被丰富
沉积作用形成堆积地貌,决策型,题目选项,岩浆活动形成火山，沉积作用形成沉积地貌。变质作用发生在地下，不直接形成地表地貌。、沉积作用形成沉积地貌、不直接形成地表地貌
沙丘,决策型,题目选项,沙丘（风积）
沙坝,决策型,题目选项,沙滩
沙尘,地形地貌,搬运物质,风力搬运、细颗粒
沙滩,决策型,题目选项,
沙粒大小均匀,地形与地貌,沙粒大小均匀，分选性好,
沙粒大小均匀，分选性好,决策型,题目选项,沙粒大小均匀、分选性好、风力堆积分选性好
沙粒易堆积,地形与地貌,风速减缓时，沙粒易堆积,
河口,地形地貌,河流地形,河海交界、三角洲形成
河套平原,地形地貌,平原,黄河冲积、风成黄土
河流侵蚀,地形地貌,流水作用,河床下切、两侧侵蚀
河流冲积,地形地貌,外力作用,泥沙堆积、平原形成、地势低
河流堆积,地形地貌,流水作用,河床加高、横向扩展
河流搬运,地形地貌,流水作用,物质移动、能量巨大
河流携带大量泥沙,决策型,题目选项,
河流流经陡崖处,决策型,题目选项,
河流流速快,地形与地貌,河流流速快、侵蚀力强,
河流流速快、侵蚀力强,决策型,题目选项,河流流速快、侵蚀力强、需要流速快
河滩,地形地貌,河流地形,流水堆积、河道两侧
河漫滩,决策型,题目选项,
河漫滩平原,决策型,题目选项,河漫滩平原和冲积扇是流水堆积地貌、河漫滩平原（流水堆积）是外力作用形成
河谷,地形地貌,河流地形,河流侵蚀、两侧陡峭、流水侵蚀
河道,地形地貌,河流地形,流水通道、侵蚀形成
泥沙,地形地貌,搬运物质,河流携带、冲积形成
泰山,地形地貌,山地,中山、中国五岳
洞内常形成石钟乳,地形与地貌,洞内常形成石钟乳、石笋,
洞内常形成石钟乳、石笋,决策型,题目选项,洞内常形成石钟乳、石笋、洞内化学堆积形成钟乳石等
洪积平原,决策型,平原类型、题目选项,山洪堆积、扇状分布、冲积平原包括洪积平原、河漫滩平原
洼地,决策型,地形、题目选项,地表凹陷、积水区域、形成谷地或洼地
流动沙漠,地形地貌,沙漠类型,沙丘移动、塔克拉玛干
流水侵蚀,决策型,侵蚀作用、题目选项,河谷、峡谷、沟壑纵横、溶蚀、流水溶蚀、河流侵蚀、丹霞地貌主要是在流水侵蚀、丘陵可由流水侵蚀（如东南丘陵）、陡坡地区流水侵蚀强
流水侵蚀共同形成,地形与地貌,由风力堆积和流水侵蚀共同形成,
流水侵蚀相关,地形与地貌,黄土高原千沟万壑的地表与植被破坏、流水侵蚀相关,
流水堆积,决策型,堆积作用、题目选项,三角洲、冲积扇、冲积平原、河口、平原形成、泥沙堆积、平原可由流水堆积（冲积平原）
流水溶蚀,地形地貌,流水侵蚀,溶洞、峰林、喀斯特地貌、石灰岩
流速缓慢,地形与地貌,入海口地势平坦、流速缓慢,
流速越快,地形与地貌,流速越快，侵蚀力越强,
流速越快，侵蚀力越强,决策型,题目选项,流速越快、侵蚀力越强、侵蚀力与流速正相关、侵蚀力
浙闽丘陵,地形地貌,丘陵,东南地区、石灰岩分布
海岸地貌,地形地貌,外力地貌,海蚀崖、沙滩、潟湖
海岸岩石坚硬,决策型,题目选项,岩石坚硬易形成陡崖
海拔,地形地貌,地形,高海拔、低海拔、地势高低
海拔越高,地形与地貌,海拔越高，侵蚀作用越强,
海拔越高，侵蚀作用越强,决策型,题目选项,海拔越高、侵蚀作用越强、海拔升高，水热变化，地貌类型可能变化。海拔越高，一般风化侵蚀作用越强。、海拔升高、海拔越高、一般风化侵蚀作用越强
海拔较低（一般在500米以下）,决策型,题目选项,
海拔较高（一般在500米以上）,决策型,题目选项,
海沟,地形地貌,板块挤压,消亡边界、板块俯冲
海河,地形地貌,河流,华北平原、冲积
海洋,决策型,题目选项,
海浪冲击力强,决策型,题目选项,
海浪搬运大量泥沙,决策型,题目选项,
海浪速度减缓,决策型,题目选项,
海积地貌,地形与地貌,分为海蚀地貌和海积地貌,
海蚀崖,决策型,题目选项,
海蚀柱,决策型,题目选项,海蚀崖
消亡边界,地形地貌,板块边界,板块碰撞、挤压隆起
淮河,地形地貌,河流,华北平原、河流众多
深度大,地形与地貌,V型谷谷底狭窄、深度大,
温差小,地形与地貌,平原地区气候更温和，温差小,
温带大陆性气候,地形地貌,气候类型,降水稀少、温差大
温带季风气候,地形地貌,气候类型,降水季节差异
湖积平原,地形地貌,平原类型,湖泊沉积、古湖环境
湿润地区多流水地貌,决策型,题目选项,湿润区流水地貌为主
湿润气候相关,地形与地貌,喀斯特地貌与石灰岩、湿润气候相关,
準噶尔盆地,地形地貌,盆地,新疆北部、阿尔泰山、天山
溶洞,决策型,喀斯特地貌、题目选项,流水溶蚀、石灰岩、喀斯特、石笋
溶蚀,地形地貌,流水作用,石灰岩溶解、喀斯特、溶洞、沟壑纵横
溶蚀洼地,决策型,题目选项,溶蚀洼地是地表喀斯特地貌
溶蚀谷,决策型,题目选项,溶蚀谷（溶蚀）
滩地,地形地貌,河流地形,河床平坦、季节变化
潮汐等作用形成,地形与地貌,受海浪、潮汐等作用形成,
澜沧江,地形地貌,高原河流,青藏高原、河流发源
瀑布,决策型,流水侵蚀、题目选项,河流下切、水力侵蚀
火山口,决策型,题目选项,
火山岩山地,决策型,题目选项,山地
火山灰堆积形成,地形与地貌,由火山喷发的岩浆、火山灰堆积形成,
火山锥,决策型,题目选项,火山锥（岩浆活动）、火山口、火山锥是典型火山地貌
热胀冷缩,地形地貌,物理风化,裂缝形成、岩体破碎
煤炭,地形地貌,矿产资源,沉积矿物、能源开发
物理风化,地形地貌,风化作用,温度变化、冻融作用
特色农业,地形地貌,产业,地形特殊、山地产品
玄武岩台地,决策型,题目选项,岩浆冷却形成玄武岩
珠穆朗玛峰,地形地貌,山地,世界最高、持续抬升、喜马拉雅
生物风化,地形地貌,风化作用,生物活动、根系作用
生长边界,地形地貌,板块边界,板块张裂、洋底扩张
由冰川侵蚀形成,决策型,题目选项,冰斗是冰川侵蚀形成的半圆形洼地
由地下水溶蚀石灰岩形成,决策型,题目选项,溶洞是地下水溶蚀形成，洞内化学堆积形成钟乳石等。多分布在湿润区。、溶洞是地下水溶蚀形成
由断层相对上升的岩块形成,决策型,题目选项,断块山是断层上升形成的，山势陡峭，如华山。褶皱山由褶皱形成。、断块山是断层上升形成的
由火山喷发的岩浆,地形与地貌,由火山喷发的岩浆、火山灰堆积形成,
由火山喷发的岩浆、火山灰堆积形成,决策型,题目选项,由火山喷发的岩浆、火山灰堆积形成、火山锥是火山喷发物堆积形成的圆锥体，有活火山、死火山和休眠火山。、火山锥是火山喷发物堆积形成的圆锥体
由风力侵蚀形成,决策型,题目选项,风蚀蘑菇是风蚀形成
由风力堆积,地形与地貌,由风力堆积和流水侵蚀共同形成,
由风力堆积和流水侵蚀共同形成,决策型,题目选项,由风力堆积、流水侵蚀共同形成、黄土高原黄土地貌是风积黄土和流水侵蚀共同作用形成，土层深厚，肥力中等。、黄土高原黄土地貌是风积黄土和流水侵蚀共同作用形成、流水侵蚀共同作用形成
畜牧业,地形地貌,产业,高原丘陵、放牧利用
盆地,地形地貌,地形基本类型,四周高中间低、盆状分布、塔里木盆地、四川盆地
盆地内部地形,地形地貌,盆地特征,多样化、平原到丘陵
盆地周边,地形地貌,盆地特征,边际高峻、地势抬升
盆地地形,地形地貌,地形特征,四周高中间低、闭合
盐类矿产,地形地貌,矿产资源,钾盐、钠盐、盐湖
盛行西风,地形地貌,大气环流,准噶尔盆地、降水来源
石柱,地形地貌,喀斯特地貌,垂直溶蚀、竖形山体
石油,地形地貌,矿产资源,塔里木盆地、能源矿物
石灰岩,地形与地貌,岩石类型、喀斯特地貌与石灰岩、湿润气候相关,可溶性、喀斯特地貌、溶蚀作用、云贵高原
石灰岩广布,决策型,题目选项,
